timestep,Bin_x,Bin_y,Bin_z,B_in_mag,Bout_x,Bout_y,Bout_z,B_out_mag,Bam_x,Bam_y,Bam_z,Bam_mag
0,-1.1468,1.5447,1.7831,2.6231,-1.1458,1.6289,1.7194,2.6311,-1.15,1.52,1.73,2.5741
0.0625,-1.1488,1.5386,1.8533,2.6687,-0.9472,1.5368,1.8882,2.6123,-1.13,1.47,1.82,2.5981
0.125,-1.0632,1.5925,1.7855,2.6181,-1.0281,1.8081,1.8118,2.7584,-1.1,1.56,1.76,2.5964
0.1875,-1.0735,1.5737,1.7994,2.6205,-1.1325,1.6527,1.9223,2.7766,-1.17,1.54,1.84,2.6695
0.25,-1.1975,1.5291,1.8126,2.6567,-1.097,1.6394,1.8236,2.6864,-1.21,1.53,1.78,2.6407
0.3125,-1.135,1.4296,1.9701,2.6858,-1.0603,1.6084,2.0056,2.781,-1.19,1.48,1.88,2.6722
0.375,-1.0962,1.5686,1.8748,2.679,-1.0202,1.56,1.9464,2.695,-1.12,1.5,1.81,2.6039
0.4375,-1.0741,1.5867,1.7452,2.5917,-1.0945,1.5162,1.846,2.6276,-1.16,1.46,1.71,2.5301
0.5,-0.9723,1.5965,1.7844,2.5843,-1.087,1.6728,1.9292,2.7752,-1.11,1.52,1.79,2.5974
0.5625,-1.1741,1.5403,1.732,2.5982,-1.149,1.5579,1.8151,2.6537,-1.16,1.51,1.74,2.5794
0.625,-1.1061,1.6463,1.8536,2.7147,-1.0992,1.6806,1.8608,2.7377,-1.15,1.56,1.77,2.6247
0.6875,-1.096,1.4746,1.8747,2.6249,-1.0179,1.5721,1.8323,2.6201,-1.17,1.43,1.74,2.538
0.75,-1.1148,1.5867,1.7955,2.6428,-0.985,1.66,1.9622,2.7524,-1.11,1.53,1.79,2.6033
0.8125,-1.0164,1.483,1.7919,2.5383,-0.9849,1.6376,1.8701,2.6738,-1.06,1.51,1.75,2.5428
0.875,-1.0332,1.5064,1.8431,2.5949,-0.9353,1.6084,1.8447,2.62,-1.07,1.48,1.77,2.5433
0.9375,-1.0752,1.5164,1.7778,2.5722,-1.0562,1.6571,1.8422,2.6935,-1.16,1.51,1.75,2.5861
1,-1.0897,1.485,1.8344,2.5996,-1.1286,1.5451,1.9078,2.702,-1.17,1.46,1.73,2.5482
1.0625,-1.1392,1.5909,1.8007,2.6593,-0.9639,1.6975,1.7852,2.6453,-1.15,1.57,1.77,2.6307
1.125,-0.9636,1.6281,1.8108,2.6188,-1.085,1.6579,1.9283,2.7648,-1.16,1.55,1.79,2.6367
1.1875,-1.0995,1.6146,1.8435,2.686,-1.0698,1.6049,1.8591,2.6789,-1.15,1.56,1.78,2.6314
1.25,-1.0978,1.5857,1.8734,2.6887,-1.043,1.5795,1.9481,2.7162,-1.13,1.46,1.81,2.5855
1.3125,-1.0282,1.6503,1.9022,2.7201,-0.9871,1.6922,1.9417,2.7583,-1.1,1.6101,1.81,2.6605
1.375,-1.1533,1.719,1.8281,2.7617,-1.1634,1.663,1.7993,2.7123,-1.19,1.6099,1.75,2.659
1.4375,-1.1353,1.5467,1.776,2.6145,-0.9854,1.5466,1.9271,2.6603,-1.12,1.5,1.79,2.5901
1.5,-1.1457,1.5549,1.8852,2.699,-1.0171,1.6986,1.8786,2.7293,-1.16,1.5501,1.81,2.6503
1.5625,-0.9871,1.7089,1.8028,2.673,-0.9665,1.7418,1.8639,2.728,-1.09,1.59,1.77,2.6171
1.625,-1.1015,1.5542,1.809,2.627,-1.0543,1.601,1.9307,2.7208,-1.1601,1.5099,1.79,2.6134
1.6875,-1.1731,1.5822,1.8165,2.6794,-1.0853,1.5968,1.7774,2.6243,-1.16,1.49,1.7399,2.5677
1.75,-1.1156,1.6024,1.6961,2.5863,-0.9955,1.6937,1.7783,2.6499,-1.15,1.53,1.7,2.56
1.8125,-1.1722,1.5636,1.799,2.6562,-1.1651,1.576,1.8905,2.7231,-1.21,1.49,1.75,2.5975
1.875,-1.0562,1.556,1.813,2.6122,-0.9642,1.6116,1.8628,2.6452,-1.1499,1.52,1.72,2.5673
1.9375,-1.0222,1.6126,1.7099,2.563,-1.0464,1.6614,1.8342,2.6869,-1.11,1.49,1.75,2.5524
2,-1.202,1.5817,1.9065,2.7535,-1.0311,1.5653,1.9411,2.6984,-1.1501,1.55,1.77,2.6188
2.0625,-1.0844,1.507,1.819,2.5991,-1.1154,1.6322,1.9116,2.75,-1.21,1.51,1.7599,2.6156
2.125,-1.1344,1.6349,1.733,2.6388,-1.0746,1.5487,1.7456,2.5691,-1.1399,1.5401,1.65,2.5286
2.1875,-1.0247,1.5658,1.7203,2.5419,-1.0299,1.6384,1.7589,2.6151,-1.14,1.5499,1.7101,2.5742
2.25,-1.0489,1.5928,1.8618,2.6652,-1.0402,1.5076,1.8505,2.6037,-1.17,1.47,1.74,2.5608
2.3125,-1.1312,1.5851,1.8382,2.6779,-1.1121,1.6691,1.7511,2.6625,-1.19,1.56,1.73,2.6158
2.375,-1.0863,1.5597,1.7686,2.5963,-1.0692,1.6001,1.8137,2.6445,-1.1599,1.4899,1.73,2.5609
2.4375,-1.1531,1.6034,1.7509,2.6393,-0.9965,1.611,1.7757,2.5964,-1.1501,1.5,1.72,2.5556
2.5,-1.2259,1.5682,1.7591,2.6564,-1.1126,1.5437,1.8009,2.62,-1.2099,1.4901,1.74,2.5908
2.5625,-1.0546,1.6476,1.7503,2.6249,-1.0548,1.619,1.8236,2.657,-1.0899,1.59,1.7801,2.6239
2.625,-1.0382,1.6145,1.8019,2.6327,-0.9621,1.6673,1.8954,2.7015,-1.1,1.5299,1.7699,2.5852
2.6875,-1.0967,1.55,1.8251,2.6337,-1.0322,1.5515,1.7082,2.5279,-1.09,1.5,1.66,2.4887
2.75,-1.1099,1.5537,1.796,2.6214,-0.9557,1.5447,1.6876,2.4793,-1.1001,1.52,1.7201,2.5454
2.8125,-1.2245,1.5872,1.7087,2.6341,-1.0444,1.656,1.8092,2.6658,-1.14,1.54,1.71,2.5682
2.875,-1.0265,1.64,1.7448,2.6053,-1.0446,1.7019,1.7882,2.6806,-1.14,1.56,1.6999,2.5735
2.9375,-1.0919,1.5057,1.7176,2.5317,-0.9804,1.6241,1.7256,2.5645,-1.1401,1.5299,1.66,2.5291
3,-1.1712,1.4936,1.7928,2.6109,-1.1637,1.6182,1.7916,2.6801,-1.2101,1.4899,1.7201,2.5774
3.0625,-1.2023,1.4971,1.7898,2.6249,-1.174,1.5242,1.8299,2.6552,-1.2199,1.44,1.72,2.5535
3.125,-1.1753,1.556,1.6645,2.5638,-1.049,1.72,1.8275,2.72,-1.1501,1.5101,1.7099,2.5548
3.1875,-1.2121,1.621,1.6384,2.604,-1.1431,1.5591,1.8197,2.655,-1.24,1.5,1.66,2.5579
3.25,-1.1062,1.5104,1.7508,2.5633,-1.0167,1.6348,1.7668,2.613,-1.0998,1.5201,1.7001,2.5319
3.3125,-1.0768,1.5603,1.7086,2.5521,-0.9648,1.6898,1.785,2.6405,-1.1001,1.5099,1.7301,2.5462
3.375,-0.997,1.4646,1.8266,2.5447,-1.0284,1.6048,1.7749,2.6045,-1.1199,1.4501,1.7399,2.5267
3.4375,-1.01,1.5827,1.7346,2.5561,-0.9356,1.6789,1.8577,2.673,-1.0801,1.5601,1.68,2.5343
3.5,-1.1597,1.5146,1.7076,2.5602,-1.014,1.6417,1.8789,2.6933,-1.16,1.4899,1.7099,2.5474
3.5625,-1.0902,1.5565,1.5734,2.4672,-1.0125,1.5678,1.7438,2.5542,-1.0799,1.5001,1.61,2.4512
3.625,-1.0617,1.545,1.7227,2.546,-0.9892,1.592,1.862,2.642,-1.1,1.5402,1.7302,2.5643
3.6875,-0.9963,1.6604,1.792,2.6383,-0.9366,1.6685,1.8919,2.6908,-1.0901,1.5898,1.75,2.6035
3.75,-1.0555,1.4755,1.8297,2.5766,-0.9181,1.6169,1.8901,2.6514,-1.1198,1.47,1.77,2.5589
3.8125,-0.9941,1.5493,1.7755,2.5575,-0.8401,1.6584,1.8868,2.6488,-0.9899,1.5901,1.75,2.5634
3.875,-0.955,1.6465,1.8652,2.665,-0.9341,1.6584,1.8676,2.6666,-1.0601,1.53,1.79,2.5824
3.9375,-0.9407,1.6776,1.9229,2.7197,-0.941,1.6957,1.9001,2.715,-1.0399,1.6001,1.7699,2.6027
4,-0.9257,1.533,1.7701,2.518,-0.9053,1.6023,1.8254,2.5921,-1.0401,1.57,1.7299,2.5572
4.0625,-0.9666,1.5687,1.8253,2.5936,-0.9599,1.6713,1.9199,2.7204,-1.0799,1.5999,1.7101,2.5788
4.125,-1.008,1.5174,1.8164,2.5725,-0.9271,1.5789,1.8764,2.6218,-1.0099,1.5,1.7801,2.5374
4.1875,-0.9994,1.6789,1.8022,2.6581,-1.0048,1.7375,1.8134,2.705,-1.0402,1.5902,1.7499,2.5832
4.25,-1.0711,1.6822,1.8447,2.7166,-0.9981,1.6736,1.8824,2.7094,-1.08,1.61,1.73,2.5983
4.3125,-0.9431,1.6318,1.7421,2.5665,-0.8501,1.7441,1.8182,2.659,-1.0299,1.61,1.7301,2.578
4.375,-1.0064,1.6668,1.9115,2.7286,-1.0464,1.8359,1.8758,2.8257,-1.03,1.6401,1.7901,2.6373
4.4375,-1.0974,1.5984,1.8229,2.6612,-0.895,1.8613,1.9414,2.8345,-1.0301,1.6499,1.7798,2.6364
4.5,-0.9809,1.6211,1.7603,2.5863,-1.0764,1.5428,1.7669,2.5809,-1.09,1.5498,1.69,2.5389
4.5625,-1.0205,1.5747,1.8475,2.6333,-0.9751,1.6262,1.9671,2.7322,-1.0599,1.51,1.7701,2.5567
4.625,-1.0184,1.5887,1.7619,2.5817,-1.0065,1.6529,1.7981,2.6416,-1.0398,1.5401,1.7199,2.5321
4.6875,-0.9125,1.6491,1.8524,2.6426,-0.8822,1.6968,1.8662,2.6721,-0.9801,1.58,1.7401,2.5465
4.75,-1.0207,1.5704,1.7422,2.558,-1.0493,1.6778,1.8807,2.7301,-1.0903,1.5498,1.74,2.5726
4.8125,-1.0238,1.4845,1.735,2.5024,-1.0029,1.518,1.8546,2.598,-1.1098,1.5002,1.75,2.5583
4.875,-0.9867,1.7081,1.7899,2.6637,-0.9164,1.7865,1.708,2.636,-1.0301,1.6099,1.75,2.5914
4.9375,-1.0968,1.5232,1.7734,2.5823,-1.0137,1.5433,1.8252,2.5963,-1.12,1.4599,1.7501,2.5394
5,-0.9218,1.6619,1.9205,2.7019,-0.9913,1.6915,1.8793,2.7158,-0.9998,1.5804,1.8302,2.6166
5.0625,-1.0175,1.6511,1.8451,2.6769,-0.9453,1.6817,1.9681,2.7559,-1.0503,1.5896,1.86,2.6626
5.125,-1.113,1.5905,1.8303,2.668,-1.0049,1.5501,2.046,2.7566,-1.1301,1.46,1.8198,2.5923
5.1875,-1.0081,1.6335,1.8299,2.652,-1.0447,1.6106,1.8667,2.6777,-1.0898,1.5601,1.7399,2.5785
5.25,-0.9726,1.4736,1.7951,2.5179,-0.8884,1.5821,1.93,2.649,-1.0099,1.4798,1.7701,2.5185
5.3125,-0.9403,1.5158,1.887,2.5966,-0.8498,1.6093,1.8823,2.6182,-1.01,1.5002,1.7701,2.5306
5.375,-0.928,1.6093,1.941,2.6867,-0.94,1.5612,1.9405,2.6621,-1.0101,1.53,1.8199,2.5833
5.4375,-1.0146,1.5831,1.8807,2.6594,-0.9836,1.5578,1.83,2.5968,-1.0501,1.53,1.7398,2.5437
5.5,-1.021,1.5338,1.8134,2.5852,-0.8857,1.7092,1.8724,2.6854,-1.05,1.5199,1.7804,2.5656
5.5625,-1.0422,1.518,1.8973,2.644,-0.9558,1.6749,1.9297,2.7282,-1.0702,1.5,1.8598,2.6181
5.625,-1.0533,1.6858,1.8276,2.7003,-1.0864,1.6215,1.8278,2.674,-1.1501,1.53,1.7298,2.5799
5.6875,-1.1128,1.5912,1.8222,2.6628,-0.9872,1.5454,1.7853,2.5593,-1.1098,1.51,1.77,2.5777
5.75,-1.0311,1.6234,1.7537,2.6027,-1.0278,1.6671,1.7849,2.6498,-1.09,1.5401,1.72,2.5531
5.8125,-1.0279,1.671,1.7758,2.6462,-1.0259,1.6642,1.8599,2.6984,-1.0999,1.5297,1.76,2.5783
5.875,-1.0056,1.4853,1.8322,2.5641,-0.9227,1.6473,1.7632,2.5834,-1.0601,1.4501,1.7199,2.4869
5.9375,-1.1481,1.7105,1.7104,2.6776,-1.148,1.7071,1.8489,2.766,-1.1401,1.5702,1.7301,2.5997
6,-0.9485,1.5588,1.8598,2.6055,-0.9675,1.6017,1.8607,2.6389,-1.1,1.5096,1.7601,2.5664
6.0625,-1.1204,1.5644,1.8461,2.6666,-1.043,1.6577,1.8296,2.6802,-1.1602,1.4704,1.7701,2.5771
6.125,-1.0715,1.7992,1.7733,2.744,-1.1239,1.7145,1.8452,2.7582,-1.1699,1.6501,1.7597,2.6811
6.1875,-1.1075,1.5038,1.6848,2.5152,-1.1276,1.6783,1.7774,2.6921,-1.1398,1.5297,1.6599,2.5287
6.25,-1.1182,1.5129,1.7978,2.6022,-1.0508,1.6508,1.8214,2.6733,-1.09,1.5602,1.7303,2.5722
6.3125,-1.0423,1.6798,1.8329,2.6958,-1.0176,1.6809,1.8566,2.7033,-1.1302,1.6102,1.7699,2.6462
6.375,-1.0864,1.6136,1.7098,2.5898,-1.0709,1.8023,1.7288,2.7173,-1.17,1.6498,1.71,2.6486
6.4375,-1.0982,1.6792,1.8674,2.741,-1.0679,1.5683,1.8395,2.6427,-1.1501,1.5296,1.7701,2.6069
6.5,-1.0625,1.5474,1.8059,2.6048,-1.1593,1.6024,1.8661,2.7192,-1.1999,1.5102,1.7398,2.5976
6.5625,-1.0384,1.6886,1.6731,2.5941,-1.0626,1.6391,1.8285,2.6757,-1.1301,1.57,1.7099,2.5819
