iteration,dKx,dKy,dKz,rmse_neubauer_x,rmse_neubauer_y,rmse_neubauer_z,rmse_B2_x,rmse_B2_y,rmse_B2_z,rmse_B1_x,rmse_B1_y,rmse_B1_z,rmse_B0_x,rmse_B0_y,rmse_B0_z,rmse_waicup_x,rmse_waicup_y,rmse_waicup_z,rmse_ramen_x,rmse_ramen_y,rmse_ramen_z,rmse_hog_x,rmse_hog_y,rmse_hog_z,rmse_ubss_x,rmse_ubss_y,rmse_ubss_z,snr_neubauer_x,snr_neubauer_y,snr_neubauer_z,snr_B2_x,snr_B2_y,snr_B2_z,snr_waicup_x,snr_waicup_y,snr_waicup_z,snr_hog_x,snr_hog_y,snr_hog_z,snr_ramen_x,snr_ramen_y,snr_ramen_z,snr_ubss_x,snr_ubss_y,snr_ubss_z
1,7.914769925217378,1.8249405808611012,8.403844048971266,0.0436782306376641,0.047938615824060185,0.07206855140726834,0.31032600957277445,0.43800246844806573,1.3318636496446359,0.5902352317597205,0.8820026530166297,2.3993181656770113,1.2606391603529465,2.047388872322868,4.682788485615559,4.514311385902303,8.110459623806749,2.3335765459625657,0.3188288074923578,0.3597327345298849,0.2772481227154001,0.2886074810598333,0.4041645396914678,1.192294395907113,0.7181850060612989,1.1154281625501976,0.6961137633035915,74.83412022755529,73.4357556985683,58.138080730428214,57.80305743294572,54.21993433918655,32.803801266262234,34.54759072530506,28.868556168541296,27.9325555616089,58.43326928475618,54.91830135998198,33.76532653194778,57.568269875989635,55.92986631987739,46.435624301912796,50.514694294079554,46.10063339149249,38.43939217409286
2,7.369833290485352,1.7149248979147331,106.78607613450058,0.044755166818294806,0.051072128063087634,0.09045024807950708,0.38144095922516125,0.5474399100472941,1.6117241434174499,0.723546651834616,1.1040312625134174,2.879769166851346,1.5365382175615898,2.5552249647088194,5.543068640692718,4.512485694100268,8.151127605105232,2.315383744150782,0.39128876953540787,0.44944326683419744,0.37918094054347184,0.3548959562614844,0.5049889262998748,1.446798538864667,0.8779408487052905,1.3937885314765806,0.7372782709493391,74.62255736701213,72.8857864138848,56.164801338306766,56.01087445446347,52.282736387884825,31.147182352487995,34.55110421022806,28.825111659858237,28.000536987790827,56.637399952567094,52.983828405363425,32.08483535536522,55.789473305762854,53.99596792857924,43.716066595467645,48.77011584601082,44.16552776664285,37.94036789373432
3,6.862415868399916,1.6211652776198007,8.933944659958627,0.04616240569138999,0.05568174005532677,0.11709343261610371,0.46852211506336455,0.6847402685829564,1.9458340734053345,0.8858963920590178,1.3817186616216552,3.445367150868729,1.8687684482841016,3.1826619132291247,6.5311976450304305,4.44533947912952,8.196094397041579,2.2998099224616917,0.47979120557904303,0.5622338047419758,0.5154434515907029,0.43613003520304167,0.6315230955651165,1.7519542492126068,1.0714135959817437,1.7396993781792203,0.6808080323443865,74.35365230358565,72.13520952993545,53.922345832953766,54.22481906839836,50.33894812347627,29.510880504547497,34.68132232125497,28.7773264670969,28.059157717346416,54.847101041807974,51.04168074327777,30.422541370179452,54.01837530724772,52.05112641347042,41.0493760544668,47.040277908441,42.2399813356658,38.632503164754766
4,6.389934438770135,1.5395580981133017,4.064787674530141,0.048171955962135526,0.06282579715251559,0.1544694938827488,0.5749981403191119,0.8569256921505101,2.3431287455772325,1.0831343764027452,1.728233778005588,4.1074876156601805,2.267170133774077,3.9539791639148323,7.656668989252171,4.356618083124371,8.246918130701287,2.289426160521589,0.587698387299809,0.7041252973281563,0.6959283870601917,0.5355475445220274,0.7902974403773019,2.1165101742122125,1.3049868015124146,2.1680015422669507,0.6810765610986026,73.98353535858037,71.08670534526769,51.51614211341816,52.446092170131976,48.39060222154586,27.897073545163625,34.856431176102454,28.723631835818516,28.09846376415798,53.06346032339207,49.093653993536286,28.780589375221375,52.25633099232031,50.096466547801626,38.4417055488722,45.32729858590122,40.32827376415284,38.62907789485271
5,5.949983637657487,1.4669902812426585,2.546665163201197,0.051335594110277424,0.07447281536610988,0.20557522835393904,0.7049654320812265,1.0726566515874603,2.8134683241114233,1.3220865003748905,2.1593609158061247,4.877782250510343,2.742663345458606,4.8966738346499525,8.926617962093701,4.278520233085368,8.305236448771652,2.288529267903035,0.7190018227967806,0.8826495303979253,0.9327283531148254,0.6570281947280684,0.9893954834799367,2.6401869931082516,1.5859298516484148,2.6960237360294665,0.6844220038024763,73.43104912160736,69.60951005647024,49.03358095824362,50.67606453330947,46.44025089677379,26.308155986344207,35.01354916963417,28.662425475249886,28.101867165752168,51.28774083922763,47.142067030241336,26.860302841749828,50.50482114378294,48.13369961071694,35.897893011899804,43.633741495151845,38.434991271489665,38.58651731660981
6,5.540323711866702,1.40105536911554,1.8198513210623761,0.05671733133302833,0.09397777049658276,0.27402502660851336,0.8632874885304261,1.3425326553271955,3.3675358441901366,1.610634517549041,2.693788498315016,5.767714098235798,3.3071287943575456,6.0412354566735,10.344711319809376,4.2112043589839665,8.373639671542435,2.3020118086818044,0.8784096687982765,1.1071679264180492,1.2403463653307636,0.8051940669313544,1.2387516814413382,3.246885062897027,1.9224638504251725,3.343734481695567,0.6803081521007261,72.5651052075738,67.58896274595905,46.53719201334475,48.91631203562851,44.490968337673294,24.746752043841035,35.15129462907844,28.59118012625464,28.050845643006987,49.52140964910314,45.18978036060682,25.063658280700544,48.76547882208659,46.16519557633395,33.42213701829478,41.962257328231445,36.564829824325365,38.63888308275665
7,5.158869116547209,1.3398758782734925,1.4061190360559739,0.06617152589785574,0.12638622851379439,0.3640624419657454,1.0556959169297453,1.6794102670914228,4.016645410818501,1.957767948673377,3.353333213826239,6.787928815052201,3.9731855903534465,7.4206395252393555,11.909909257523445,4.161089579372133,8.455067301306636,2.338386416318147,1.07143458471049,1.3892238009696367,1.635800277605054,0.9855138385388553,1.5504717867974709,3.878386643835383,2.3236954240658747,4.133711260655127,0.6521129654678666,71.22599798223975,65.01547041490139,44.06947902895287,47.16864413461924,42.5463294219948,23.215726706464626,35.25527966520903,28.507124122851494,27.914670994381137,47.76616643171653,43.24018814055111,23.519974534112027,47.04010775566658,44.194021194792086,31.01839103405618,40.31583691661236,34.72266274199126,39.00653988437359
8,4.803677897856541,1.281989761930235,1.150132322726167,0.08250260309275745,0.17854016842457485,0.48045625170066214,1.2888867325049578,2.0987217480151954,4.772436077253735,2.3735917779460816,4.163052779055279,7.947447897154524,4.75384434357581,9.069499292429859,13.615170126729561,4.1260021908168,8.553056538939302,2.4035895294077863,1.3044767319257702,1.7429148924102411,2.1385566408564607,1.2044052457483725,1.9391613556211513,4.591964457566118,2.799583638303982,5.091040619737561,0.7326278445469792,69.31006794231564,62.01474669789442,41.65991960920824,45.43512590797927,40.6103682419943,21.718194183255118,35.32883188697384,28.407038642637644,27.675790516039225,46.02396820372465,41.29718654484138,22.05302622711738,45.330694232659226,42.22394188512272,28.690581439701948,38.697552037981055,32.91333425754823,37.99532817295962
9,4.472941806633692,1.2262760709486134,0.985876417458834,0.10941062243624285,0.2593131749233274,0.6282395878896476,1.5706028344793193,2.618769237065393,5.6464265394488615,2.8692704178598536,5.151190757086898,9.252682990786553,5.662018929491822,11.022830834912773,15.446203849690244,4.100761838967049,8.672930790566522,2.5079477934835372,1.584894522613157,2.1852637922028304,2.770218887647179,1.4693275474554268,2.4222398849827043,5.443072993953413,3.3607474132495407,16.915428186124515,0.8535903168489298,66.85823119696185,58.772973849871846,39.330490594051916,43.71809343390113,38.68752088881042,20.257522939191396,35.38213002405339,28.286147885187503,27.30662674934738,44.29704855224532,39.36512248014538,20.57611341655642,43.63941368193829,40.25938810145473,26.442714864982886,37.11070351112321,22.483805586214068,36.66800698927438
10,4.164977092751979,1.1719045168905204,0.8801987686017864,0.15146187325242372,0.3801319835826146,0.8122404415987592,1.9096903319097591,3.260959563223503,6.64940838762005,3.4568859569452877,6.3488899001492145,10.706290353537508,6.709889909515006,13.314415220260104,17.38041517474976,4.084069098256976,8.821260029691453,2.669037734542091,1.9210532701430403,2.736552547387829,3.553890639631847,1.7888525088393719,3.0202083646283824,6.376621476987878,3.4181075549544357,6.056486585944589,1.0181697988838838,64.03335449582276,55.45077726337212,37.099304399334315,42.02016198328487,36.782557231009186,18.837336447323793,35.417559345857356,28.13885301580023,26.765902308494347,42.587930283783436,37.448727379781594,19.201183833771196,41.96863281444471,38.30538966246571,24.27891539400926,36.96370648754958,31.405050306974417,35.13659236960655
