UTC,bt,bx_gse,by_gse,bz_gse,bx_gsm,by_gsm,bz_gsm,fgm_fgs_quality
2023-01-16T00:05:16.000,5.721163,-2.3713963,2.5556173,4.536188,-2.3713963,0.8243624,5.140876,0
2023-01-16T00:05:21.000,5.8622212,-2.1866865,3.0570564,4.498716,-2.1866865,1.3077513,5.279567,0
2023-01-16T00:05:25.000,7.2010283,-2.7908669,3.5522218,5.6078153,-2.7908669,1.3877577,6.4915333,0
2023-01-16T00:05:29.000,7.2684393,-2.7509778,3.6617932,5.6438994,-2.7509778,1.4780992,6.5633492,0
2023-01-16T00:05:34.000,7.2910333,-2.8347795,3.9747407,5.415221,-2.8347795,1.850992,6.457322,0
2023-01-16T00:05:38.000,6.835389,-2.3662634,3.9027443,5.088411,-2.3662634,1.896828,6.125796,0
2023-01-16T00:05:42.000,6.778862,-2.6688204,4.1499686,4.648454,-2.6688204,2.2813015,5.7987947,0
2023-01-16T00:05:46.000,6.1917815,-1.694252,4.241211,4.1808844,-1.694252,2.5290298,5.391815,0
2023-01-16T00:05:51.000,6.7015367,-2.1985006,4.432131,4.520332,-2.1985006,2.59052,5.7763653,0
2023-01-16T00:05:55.000,6.1709585,-1.7902533,4.2591186,4.0909204,-1.7902533,2.577138,5.3135757,0
2023-01-16T00:05:59.000,6.48756,-2.0031989,4.4353924,4.289862,-2.0031989,2.673596,5.5612507,0
2023-01-16T00:06:04.000,6.594774,-2.068366,4.4645543,4.390975,-2.068366,2.6659708,5.666172,0
2023-01-16T00:06:08.000,7.220832,-2.3717196,4.6600547,4.979884,-2.3717196,2.6453192,6.2863064,0
2023-01-16T00:06:12.000,7.5580115,-2.683925,4.5811195,5.37898,-2.683925,2.4330382,6.6332808,0
2023-01-16T00:06:17.000,7.3442664,-2.8321557,4.3138475,5.2256927,-2.8321557,2.2355306,6.3968387,0
2023-01-16T00:06:21.000,6.6990924,-2.5317008,3.864608,4.851096,-2.5317008,1.9440184,5.8897467,0
2023-01-16T00:06:25.000,6.385498,-2.4584253,3.5074534,4.7358737,-2.4584253,1.6489922,5.657875,0
2023-01-16T00:06:29.000,6.382976,-2.466522,3.5278788,4.7130375,-2.466522,1.6761327,5.643512,0
2023-01-16T00:06:34.000,6.664848,-2.4708292,3.7680964,4.9108706,-2.4708292,1.8329848,5.912307,0
2023-01-16T00:06:38.000,6.675793,-2.4744112,3.6401439,5.0192485,-2.4744112,1.6754763,5.9696136,0
2023-01-16T00:06:42.000,6.3945622,-2.3374162,3.425692,4.867396,-2.3374162,1.5269952,5.752842,0
2023-01-16T00:06:47.000,6.395688,-2.47713,3.3958094,4.82049,-2.47713,1.5152855,5.698469,0
2023-01-16T00:06:51.000,6.020182,-2.3312716,3.1480358,4.571393,-2.3312716,1.3692278,5.3789377,0
2023-01-16T00:06:55.000,5.9910054,-2.1477733,3.148237,4.6225333,-2.1477733,1.3517644,5.4269643,0
2023-01-16T00:06:59.000,6.643743,-2.4701273,3.4591217,5.106101,-2.4701273,1.4759332,5.9882727,0
2023-01-16T00:07:04.000,6.8175783,-2.5221336,3.5805192,5.224758,-2.5221336,1.5487789,6.1416197,0
2023-01-16T00:07:08.000,6.8661213,-2.6538796,3.510305,5.2705126,-2.6538796,1.4671366,6.160199,0
2023-01-16T00:07:12.000,7.1111703,-2.7469304,3.7968526,5.3485537,-2.7469304,1.7089825,6.332652,0
2023-01-16T00:07:17.000,7.1816673,-2.730532,3.7647996,5.4723687,-2.730532,1.6361018,6.4376783,0
2023-01-16T00:07:21.000,7.472916,-2.8219059,3.879139,5.7300615,-2.8219059,1.6541795,6.719003,0
2023-01-16T00:07:25.000,7.05214,-2.6914513,3.6418338,5.4060907,-2.6914513,1.5438608,6.332871,0
2023-01-16T00:07:30.000,6.989799,-2.618919,3.7780242,5.265462,-2.618919,1.720408,6.2481,0
