UTC,bt,bx_gse,by_gse,bz_gse,bx_gsm,by_gsm,bz_gsm
2023-02-01T00:10:47.000,4.395871162414551,3.51605,-2.591397,0.4957178,3.51605,-2.5517592,-0.67052126
2023-02-01T00:10:51.000,4.488744258880615,3.5849264,-2.6045072,0.7167081,3.5849264,-2.6589134,-0.47676742
2023-02-01T00:10:56.000,4.303890705108643,3.363351,-2.4215312,1.160831,3.363351,-2.6853924,0.0028742552
2023-02-01T00:11:00.000,4.270193099975586,3.44237,-2.3989272,0.7935919,3.44237,-2.5066092,-0.3186705
2023-02-01T00:11:04.000,4.636247634887695,3.923824,-2.4014494,0.5757055,3.923824,-2.4149165,-0.5163074
2023-02-01T00:11:09.000,4.75850248336792,3.8733017,-2.5601733,1.0423012,3.8733017,-2.759359,-0.163759
2023-02-01T00:11:13.000,4.6191086769104,3.6735015,-2.547741,1.1621407,3.6735015,-2.799827,-0.050240755
2023-02-01T00:11:17.000,4.6010355949401855,3.53519,-2.852691,0.73083085,3.53519,-2.8889587,-0.5708579
2023-02-01T00:11:22.000,4.575758934020996,3.6496642,-2.6943612,0.59828115,3.6496642,-2.6889534,-0.62213415
2023-02-01T00:11:26.000,4.561837196350098,3.593273,-2.779665,0.41498652,3.593273,-2.6868837,-0.8242621
2023-02-01T00:11:30.000,4.513319492340088,3.6568768,-2.5260715,0.78502667,3.6568768,-2.617659,-0.38100582
2023-02-01T00:11:34.000,4.540764808654785,3.5419557,-2.7991786,0.48753718,3.5419557,-2.7357945,-0.7671499
2023-02-01T00:11:39.000,4.715774059295654,3.6847696,-2.8487175,0.7387856,3.6847696,-2.8888392,-0.56178594
2023-02-01T00:11:43.000,4.618210792541504,3.7553773,-2.5886621,0.72376657,3.7553773,-2.6477318,-0.46316826
2023-02-01T00:11:47.000,4.69744873046875,3.8498235,-2.5871994,0.74248546,3.8498235,-2.6544893,-0.44561487
2023-02-01T00:11:52.000,4.641811370849609,3.704649,-2.6496158,0.8952779,3.704649,-2.77669,-0.33463198
2023-02-01T00:11:56.000,4.768040180206299,3.3488433,-3.265245,0.926085,3.3488433,-3.3454463,-0.5722302
2023-02-01T00:12:00.000,4.72529935836792,3.4334393,-3.156484,0.7593136,3.4334393,-3.1754181,-0.67577153
2023-02-01T00:12:05.000,4.662313461303711,3.7379644,-2.73713,0.5224067,3.7379644,-2.69491,-0.7086947
2023-02-01T00:12:09.000,4.6215620040893555,3.7146597,-2.6281738,0.8079848,3.7146597,-2.719726,-0.4040116
2023-02-01T00:12:13.000,4.76406192779541,3.6832027,-2.93615,0.7136717,3.6832027,-2.9569597,-0.62184614
2023-02-01T00:12:17.000,4.596839904785156,3.5472958,-2.8685765,0.5647111,3.5472958,-2.8317795,-0.727086
2023-02-01T00:12:22.000,4.481187343597412,3.4959219,-2.7118144,0.7110775,3.4959219,-2.7534366,-0.52740383
2023-02-01T00:12:26.000,4.7267231941223145,3.4089534,-3.224246,0.57025176,3.4089534,-3.1551135,-0.87533355
2023-02-01T00:12:30.000,4.763780117034912,3.4952872,-3.151666,0.7372702,3.4952872,-3.1616287,-0.6933029
2023-02-01T00:12:35.000,4.673057556152344,3.6274045,-2.8032951,0.90605795,3.6274045,-2.9200487,-0.39079517
2023-02-01T00:12:39.000,4.808316230773926,3.6746156,-2.973538,0.88044053,3.6746156,-3.0626273,-0.48725444
