TIME_UTC                 BISX        BISY       BISZ       BIST         BOSX      BOSY       BOSZ       BOST      dBX        dBY        dBZ        dBT                                                 
2006-06-09T01:43:18.420   -592.224   -628.001   1793.990   1990.858      8.938    113.135    130.886    173.236   -601.162   -741.136   1663.104   1917.444
2006-06-09T01:43:18.427   -592.176   -626.976   1792.634   1989.298      8.471    113.022    131.022    173.241   -600.647   -739.998   1661.612   1915.549
2006-06-09T01:43:18.435   -593.136   -630.856   1795.055   1992.990      8.637    112.096    132.052    173.429   -601.773   -742.951   1663.003   1918.251
2006-06-09T01:43:18.443   -592.032   -630.447   1795.644   1993.064      9.105    112.497    131.532    173.319   -601.137   -742.944   1664.112   1919.010
2006-06-09T01:43:18.451   -591.232   -626.473   1792.248   1988.511      8.863    113.290    130.591    173.110   -600.095   -739.763   1661.658   1915.325
2006-06-09T01:43:18.459   -593.744   -628.108   1792.684   1990.167      8.186    112.559    131.333    173.162   -601.930   -740.667   1661.350   1915.983
2006-06-09T01:43:18.467   -593.248   -632.088   1796.938   1995.111      8.713    111.965    132.307    173.544   -601.961   -744.054   1664.631   1920.148
2006-06-09T01:43:18.474   -590.576   -629.028   1794.716   1991.347      9.266    112.837    131.101    173.221   -599.842   -741.864   1663.615   1917.756
2006-06-09T01:43:18.482   -591.520   -626.011   1790.331   1986.724      8.626    113.121    130.326    172.788   -600.146   -739.132   1660.005   1913.663
2006-06-09T01:43:18.490   -595.248   -629.768   1794.411   1992.696      8.056    112.226    131.789    173.286   -603.304   -741.994   1662.622   1918.031
2006-06-09T01:43:18.498   -591.872   -632.238   1798.453   1996.113      9.092    112.057    132.331    173.641   -600.964   -744.295   1666.121   1921.222
2006-06-09T01:43:18.506   -589.376   -627.466   1792.062   1988.105      9.350    112.970    130.549    172.895   -598.726   -740.436   1661.512   1915.031
2006-06-09T01:43:18.513   -593.776   -626.237   1789.555   1986.768      8.067    112.899    130.366    172.646   -601.843   -739.135   1659.188   1913.489
2006-06-09T01:43:18.521   -595.216   -631.560   1797.748   1996.258      8.291    112.051    132.484    173.713   -603.507   -743.611   1665.264   1921.011
2006-06-09T01:43:18.529   -589.920   -631.391   1797.681   1994.571      9.476    112.326    132.036    173.609   -599.396   -743.716   1665.645   1920.094
2006-06-09T01:43:18.537   -590.304   -625.826   1788.503   1984.656      8.816    113.067    129.878    172.425   -599.120   -738.893   1658.625   1912.053
2006-06-09T01:43:18.545   -595.776   -627.308   1791.670   1989.610      7.728    112.805    130.823    172.914   -603.504   -740.113   1660.848   1915.829
2006-06-09T01:43:18.552   -593.872   -632.765   1800.762   1998.955      8.688    112.190    133.020    174.231   -602.560   -744.956   1667.742   1923.383
2006-06-09T01:43:18.560   -589.008   -629.271   1793.973   1990.290      9.272    112.764    131.069    173.150   -598.280   -742.036   1662.904   1916.718
2006-06-09T01:43:18.568   -592.048   -624.831   1786.978   1983.488      8.203    113.471    129.456    172.342   -600.251   -738.302   1657.522   1911.222
