seed,rmse_ica,rmse_mssa,rmse_ness,rmse_picog,rmse_sheinker,rmse_ream,rmse_ubss,rmse_waicup,rmse_b1,rmse_b2,corr_ica,corr_mssa,corr_ness,corr_picog,corr_sheinker,corr_ream,corr_ubss,corr_waicup,corr_b1,corr_b2,snr_ica,snr_mssa,snr_ness,snr_picog,snr_sheinker,snr_ream,snr_ubss,snr_waicup,snr_b1,snr_b2
0,[28.18311594 90.59778753 28.19460319],[24.66683599 16.15898827 13.33301686],[4.70626841 5.70440292 5.16971109],[ 74.82999348  63.6632831  136.64518242],[6.07239721 5.8517961  5.16074391],[43.05015736 34.75860736 57.40822348],[ 4.94230026 18.56477894  4.93048358],[ 9.3826574  11.19639048  5.40730128],[ 86.68718196  57.95481002 116.5538713 ],[10.45757562  9.82216119 13.01090542],[0.99318333 0.91597229 0.87472878],[0.99475431 0.99742158 0.97550165],[0.9998093  0.9996792  0.99607333],[0.95524034 0.96222882 0.38849642],[0.99968315 0.9996622  0.99606419],[0.98428522 0.98803345 0.70988023],[0.99978972 0.99670711 0.99642647],[0.99926276 0.99883863 0.99570678],[0.94135916 0.96836373 0.44668316],[0.99906019 0.99904955 0.975884  ],[18.63964083  7.90711366  6.28967685],[19.79715205 22.88118219 12.79442802],[34.18588712 31.92526162 21.02367111],[10.15790682 10.97168487 -7.41888991],[31.97221753 31.70368179 21.03875041],[14.95992611 16.22821815  0.11351443],[33.76083843 21.67566985 21.43520626],[28.1929038  26.06790477 20.63338522],[ 8.88032327 11.78767577 -6.03753748],[27.2508007  27.20532436 13.00684619]
1,[27.9299445  48.73697341 17.34689724],[31.84747964 50.41420304 43.39217114],[1.92999104 8.77977494 7.80218395],[135.90191599 105.509563   249.2878781 ],[15.30952192 11.460493   17.5596264 ],[31.28610452 45.49521272 62.31705121],[2.79014986 7.87003221 7.89873587],[16.92674114 12.98200487 17.7329987 ],[ 93.01550438 120.71930623 216.74335409],[ 7.89906142 14.99723899 24.3748112 ],[0.99326814 0.97657015 0.96107125],[0.99122905 0.97476308 0.77808729],[0.99996793 0.99924083 0.99104125],[0.87381034 0.90623062 0.22205449],[0.99800792 0.99870755 0.95953461],[0.99162147 0.97964682 0.69558223],[0.99993306 0.9993898  0.99087958],[0.99754391 0.99833894 0.95804213],[0.93453748 0.88286459 0.28904931],[0.9994652  0.99779229 0.92373337],[18.71801952 13.29229438 10.50856047],[17.5779196  12.99840738  2.54476897],[41.92831511 28.17979784 17.44867288],[  4.97490938   6.58362901 -12.64102663],[23.94018839 25.86539949 10.40269115],[17.73239114 13.8901515  -0.59914131],[38.72687038 29.12993531 17.34184476],[23.06795392 24.78263015 10.31735294],[  8.26831406   5.41393088 -11.42591921],[29.68791115 23.52923925  7.55417137]
2,[25.43966587 45.48956331 13.0610925 ],[24.02410446 44.50594844 24.60410461],[ 3.66528616  1.83768204 54.63830663],[ 26.36871012  33.10590857 151.07640053],[5.95744632 4.15666958 4.42109425],[20.32450915 36.43990577 21.99130267],[ 9.6831415   4.80287501 11.29047387],[ 7.17154585 10.11474093  3.84857406],[ 20.92743537  33.20442577 123.62399209],[ 3.94975264  5.45784137 26.29127002],[0.99447182 0.97978251 0.97624448],[0.99507695 0.98067097 0.91577716],[0.99988455 0.99996669 0.72889438],[0.99409831 0.98929092 0.34379317],[0.99969493 0.99983018 0.99713664],[0.99647853 0.98681592 0.9332568 ],[0.99923086 0.99977313 0.98169187],[0.99956326 0.99905968 0.99785096],[0.99627174 0.98921318 0.42554948],[0.99986595 0.99970618 0.91129088],[19.52919291 13.89123015 12.97340648],[20.02647682 14.08110429  7.47284529],[36.35726323 41.7640581   0.54305196],[19.21764325 16.65135527 -8.29093599],[32.13821822 34.67455544 22.38240111],[21.47901965 15.81792059  8.44797747],[27.91909541 33.41943981 14.23875318],[30.52716538 26.95037023 23.58699962],[21.22510078 16.62554602 -6.54905869],[35.70802302 32.30904732  6.89676527]
3,[26.67387958  9.8388005  14.49659731],[30.40650695 49.77289618 45.23987387],[11.30387762  1.7522681  12.77833753],[238.4383388  303.30789558 186.70994791],[14.65698076  3.57746698 12.85542465],[32.05574102 74.98947358 88.80069564],[ 2.09729779  2.34144169 17.10978282],[10.9874271  13.32099229  7.47636532],[130.62107033 536.1699079  349.24255148],[11.13770538 40.61670235 20.66082759],[0.99386292 0.99905023 0.97004628],[0.99200757 0.97600368 0.7589542 ],[0.9989066  0.99996975 0.9766386 ],[0.71707103 0.61253281 0.32495811],[0.99818304 0.99987391 0.97632523],[0.9912751  0.9486648  0.54571672],[0.99996227 0.99994597 0.95922619],[0.99895998 0.99830258 0.99171981],[0.88224119 0.38601294 0.16461269],[0.99893843 0.98411162 0.94217125],[19.11769725 27.19062241 12.06767508],[17.98009033 13.10960726  2.18256888],[26.57487203 42.17745438 13.16350948],[  0.09189922  -2.58820882 -10.13035257],[24.31853061 35.97795281 13.11126804],[17.52130456  9.5494594  -3.67533077],[41.20621897 39.65979856 10.62810665],[26.82150084 24.55873396 17.8191863 ],[  5.31915621  -7.53658322 -15.56954646],[26.70350646 14.87537229  8.99004231]
4,[25.47481575 52.91977665 13.04970387],[18.52954734  9.57372566 17.90386447],[2.3909308  1.40904094 9.8325123 ],[  6.82935544  77.90936882 192.84328602],[2.77000638 2.98517011 2.24397387],[21.02769624 42.45261753 23.09216718],[14.59412356 14.43942184  1.61798254],[ 5.92758389 12.21793233  4.74362998],[ 21.26291322  42.44126476 102.5274168 ],[ 4.80384278  9.08277034 21.16734526],[0.99446964 0.97240351 0.97616189],[0.99705194 0.9990956  0.9547969 ],[0.99995078 0.99998042 0.98601801],[0.99959861 0.94474243 0.28674262],[0.99993394 0.9999121  0.99926106],[0.99621672 0.98263083 0.92953004],[0.9981773  0.99794757 0.99961303],[0.99971221 0.9985395  0.99699015],[0.99613143 0.98263783 0.49665839],[0.99980135 0.99918684 0.93984994],[19.51719994 12.57710545 12.98098345],[22.28212477 27.42784593 10.23406095],[40.06808085 44.07099328 15.43970662],[ 30.95182664   9.21767178 -10.41109388],[38.78980557 37.55008381 28.27264067],[21.18358708 14.49137604  8.02370273],[24.3558606  23.85846941 31.11351995],[32.1818668  25.30951119 21.77078049],[21.08696564 14.49369915 -4.92380372],[34.00764527 27.88509884  8.77966871]
5,[29.29980476 45.87805803 13.75885267],[26.83666767 18.2826389  38.08358193],[6.02610476 1.89258548 9.18833759],[ 58.4997745  117.34387014 622.31135906],[7.78994583 2.93891917 8.99884785],[27.91095505 28.89154461 85.59227648],[61.34465466 63.66415196 16.91668053],[12.00703422  9.96947447  7.57346903],[127.64772858  76.91586183 345.73340302],[13.4377259   9.12548011 45.57746454],[0.99262875 0.97937653 0.97329844],[0.99378272 0.99669871 0.81925144],[0.99968742 0.99996467 0.98779416],[0.97167101 0.88654189 0.09786028],[0.99947735 0.99991506 0.98822821],[0.99329025 0.99180825 0.5617028 ],[0.97043653 0.96221686 0.96035444],[0.99876348 0.99907681 0.99150282],[0.88290919 0.94622903 0.16650961],[0.99844786 0.99917938 0.78772675],[18.30212644 13.81736497 12.52135218],[19.06484921 21.80868787  3.67824081],[32.03868742 41.50835543 16.02825772],[ 12.29633713   5.66025735 -20.58715798],[29.80873222 37.68571266 16.2092584 ],[18.72392702 17.83405028 -3.35569496],[11.88388645 10.97156633 10.72669363],[26.05070601 27.07602019 17.70709951],[  5.51915915   9.32914729 -15.48183023],[25.07290541 27.84435104  2.11799335]
6,[25.27020232 45.21074889 24.57294093],[33.65551188 12.21452769 36.39342248],[3.08377193 6.15132205 9.45192344],[330.43428473 203.4529331  509.13686011],[6.61175007 2.22124568 7.43548184],[34.97801919 19.80846775 35.76464884],[23.18335531 21.00968476 17.86904901],[ 6.90240605 11.29717874  9.1331475 ],[334.80804715 101.69298402 261.85203544],[32.94833555  7.34811314 18.02043264],[0.99453705 0.97997739 0.90643439],[0.99029618 0.99853659 0.82228446],[0.99991812 0.99962726 0.98705595],[0.58952785 0.74256122 0.11429482],[0.99962492 0.99995154 0.99187229],[0.98959485 0.99612463 0.84466158],[0.99538665 0.99565381 0.95364802],[0.99959385 0.99881321 0.98762037],[0.58476807 0.91164716 0.21786873],[0.99078392 0.9994685  0.95523322],[19.58724659 13.94463148  7.48385385],[17.09829697 25.31193194  4.0725386 ],[37.85777596 31.2700962  15.78259268],[ -2.74228107   0.88018639 -18.84369421],[31.2330924  40.11753357 17.86681424],[16.76351674 21.11244784  4.22391728],[20.33589514 20.60107478 10.25096778],[30.85941089 25.9900655  16.08058715],[ -2.85649678   6.90364568 -13.0681225 ],[17.28275137 29.7259488  10.17769232]
7,[48.73264513 44.71995304 13.6161646 ],[23.08475591 26.54914794 66.57387728],[ 2.77353627  6.3064222  47.50273723],[ 69.67176186 127.25156386 486.2988207 ],[3.60040798 7.08167973 5.31206237],[25.87876019 65.93752594 90.83042042],[ 2.72152662  6.52602261 13.10256696],[6.65065733 8.93973153 5.49768982],[ 48.36476934 133.40759594 440.22795156],[ 3.82532106 12.75978042 51.68189521],[0.97934007 0.98048795 0.97447186],[0.99544331 0.99303785 0.64405921],[0.99993382 0.99960792 0.77464046],[0.96057575 0.86971808 0.1109647 ],[0.99988854 0.99950535 0.99582441],[0.99424217 0.95860825 0.53567974],[0.99993627 0.99958014 0.97559992],[0.99964017 0.99924037 0.99559146],[0.98042996 0.8590268  0.13026819],[0.99987408 0.9983966  0.74764249],[13.88302127 14.03943872 12.61190073],[20.37291524 18.56845375 -1.17308044],[38.77874398 31.05380465  1.75862387],[ 10.77828511   4.95620293 -18.44506774],[36.51238665 30.04673986 20.78773327],[19.38055165 10.66681254 -3.8716299 ],[38.94316924 30.75649402 12.94586883],[31.18212954 28.02297597 20.48939192],[ 13.94883855   4.54585434 -17.58055569],[35.98606315 24.93260149  1.02622796]
8,[25.30342914 43.36393682 13.40329221],[10.59511489 16.67238648 23.75382183],[ 9.53388269  2.17433632 26.50241966],[208.24174746  41.77525268  94.89542421],[1.36996037 2.6093234  1.87147071],[10.61489325 25.34568386 27.42263441],[ 5.89372078 15.68428471 15.2768758 ],[ 6.87370009 11.84439642  5.47993062],[113.72889332 108.80181555 275.47531699],[13.57971005 14.70744542 34.04841823],[0.9945396  0.98142734 0.97493271],[0.99903433 0.99727438 0.92375414],[0.99921824 0.99995337 0.90997841],[0.75649706 0.98322356 0.52583131],[0.99998384 0.99993284 0.99948225],[0.99903107 0.99364361 0.90457458],[0.99970188 0.99759654 0.96565157],[0.99962395 0.99864922 0.99567355],[0.90431801 0.90031684 0.20782691],[0.9984158  0.99787289 0.86327345],[19.57583335 14.30689144 12.74876687],[27.13730756 22.60951012  7.77832669],[28.0540249  40.30293108  6.82728605],[ 1.26806498 14.63108379 -4.25190885],[44.90526091 38.71890731 29.84933591],[27.12110835 18.97138523  6.53081311],[32.23162984 23.14017115 11.61230563],[30.89560939 25.57920681 20.51749538],[  6.52200471   6.31674265 -13.50865724],[24.98161103 23.69872059  4.65105777]
9,[51.26452595 45.5297517  27.90674391],[35.86444927 18.89319959 54.20189834],[5.02260366 4.97123244 7.29590572],[139.46283245 231.49083052 446.69626254],[18.78573393  2.42093187 19.09342937],[35.29131787 22.85776952 65.65882903],[18.98200243 19.4941657  21.66310614],[19.0187429  15.04741322 15.2966887 ],[120.41253982 152.33705965 345.11591164],[ 9.55983672 16.80437658 46.31318499],[0.97712648 0.97968938 0.87810196],[0.98886879 0.99647466 0.691049  ],[0.99978283 0.99975636 0.9922542 ],[0.86495403 0.69468226 0.13779477],[0.99700252 0.99994219 0.94976791],[0.98934081 0.99488996 0.65651305],[0.99690947 0.99627219 0.93750075],[0.99689958 0.99787603 0.96588028],[0.89484981 0.82849138 0.1619431 ],[0.99921399 0.99722727 0.78171819],[13.44308206 13.88355986  6.37881324],[16.54613765 21.52335525  0.61270664],[33.62084279 33.1201841  18.03141231],[  4.75025134  -0.24121036 -17.70724979],[22.16285763 39.36981414  9.6753178 ],[16.68606344 19.86878851 -1.05286608],[22.07258048 21.25137244  8.57858203],[22.05578482 23.50022856 11.60104802],[  6.02598663   3.39335413 -15.46630307],[28.03041148 22.54101739  1.97890361]
