seed,rmse_ica,rmse_mssa,rmse_ness,rmse_picog,rmse_sheinker,rmse_ream,rmse_ubss,rmse_waicup,rmse_b1,rmse_b2,corr_ica,corr_mssa,corr_ness,corr_picog,corr_sheinker,corr_ream,corr_ubss,corr_waicup,corr_b1,corr_b2,snr_ica,snr_mssa,snr_ness,snr_picog,snr_sheinker,snr_ream,snr_ubss,snr_waicup,snr_b1,snr_b2
0,[66.56805565 43.10031839 19.19292984],[66.83177386 63.02721415 77.11240705],[ 0.22629768 45.28356003  0.86286176],[ 41.1796395  196.09508322  54.65228485],[114.83921292  10.62151921   0.99675686],[251.09470418 238.74162697 181.63401025],[ 0.3618456  17.79319039  1.32365768],[62.15775633 49.09274794 15.10171956],[174.61188234 160.26529277 643.31605375],[0.54657656 0.32741571 0.89008352],[0.98003878 0.98154027 0.94826377],[0.97975587 0.9600567  0.5743916 ],[0.99999956 0.98004411 0.99989608],[0.98546454 0.7614545  0.84866202],[0.87914102 0.99888663 0.99985921],[0.00847975 0.01521093 0.28978295],[0.99999917 0.99802683 0.99976715],[0.98579311 0.97611922 0.96661948],[0.90377663 0.80548426 0.08085068],[0.99999786 0.99999894 0.99988904],[11.17410353 14.35985593  9.63017107],[11.1397612  11.05890327 -2.44948861],[60.54581891 13.93065426 36.57417211],[15.34577016  1.20013141  0.54083012],[ 6.43761683 26.52573272 35.32121188],[-0.35733009 -0.50909748 -9.89094685],[56.46895515 22.04438898 32.85748289],[11.76951438 13.22911866 11.71246856],[  2.79794509   2.95267588 -20.8754912 ],[52.88640091 56.74747512 36.30438142]
1,[35.6649047  46.50516015 69.34849443],[35.4573505  43.11197212 65.27327739],[0.13752888 0.5292121  0.89080944],[12.82877759 80.33029723 70.51797503],[ 9.72724178 62.14243702 16.81885978],[63.06148381 37.70118499 78.54218027],[ 0.52115123  9.10087874 31.35883179],[26.22308896 17.80326512 63.6483381 ],[ 63.06148381  37.70118499 148.55840117],[0.73142541 0.775689   0.85541102],[0.98906854 0.97883706 0.6156052 ],[0.9891973  0.98225165 0.67063858],[0.9999999  0.99999727 0.9999186 ],[0.99874266 0.94019231 0.58846283],[0.99920309 0.96173843 0.95945434],[0.96926344 0.98590452 0.16871969],[0.99999856 0.99940077 0.89544014],[0.9942692  0.99698571 0.71433311],[0.96926344 0.98590452 0.41531527],[0.99999558 0.99999417 0.99993285],[16.59459962 13.69944262 -1.52774415],[16.64529536 14.35750771 -1.0017118 ],[64.87154277 52.57687026 36.29730041],[25.47571545  8.95187802 -1.67300007],[27.87962676 11.18169988 10.77706559],[11.64413727 15.52236548 -2.60906247],[53.30014568 27.86779894  5.36579908],[19.26574401 22.03947232 -0.78274478],[11.64413727 15.52236548 -8.14494775],[50.35602009 49.25571282 36.6494998 ]
2,[49.24886042 46.04015872 25.19572929],[22.72185025 16.81352424  3.13492876],[0.18120821 0.14885036 7.5787466 ],[120.8545738  254.37291717  64.97442965],[382.52167702 151.27864398  36.90946724],[ 2.17346267  5.05116178 10.08011911],[0.18668444 0.18374698 0.57348872],[ 4.94186627 10.35425043  4.10691938],[ 2.17346267  5.05116178 10.08011911],[0.19682003 0.20862959 0.74240722],[0.97889767 0.9793313  0.90143788],[0.99559785 0.99754154 0.99867828],[0.99999985 0.99999986 0.99189629],[0.91341797 0.5588484  0.72627554],[0.39373029 0.78777254 0.84298152],[0.99997539 0.99977049 0.98581969],[0.99999984 0.9999998  0.99995389],[0.9997987  0.99903385 0.99768293],[0.99997539 0.99977049 0.98581969],[0.99999983 0.99999969 0.99992272],[13.79149726 13.78672926  7.26645791],[20.51054711 22.53629041 25.36844307],[62.47586336 63.5944675  17.70104886],[ 5.99415915 -1.05995191 -0.96185293],[-4.01370005  3.45391304  3.95024105],[40.89637728 32.98163994 15.2236833 ],[62.21725851 61.76506112 40.12249893],[33.76160119 26.7470922  23.02267304],[40.89637728 32.98163994 15.2236833 ],[61.75803492 60.66194739 37.8801529 ]
3,[25.11147373 50.31321398 13.72040919],[14.81261664 26.33589562 10.56746256],[0.16215338 0.23332892 0.18982469],[ 56.65108264 103.08827079  68.24313628],[439.97090626 398.5304586  166.51905283],[ 8.78622524 10.85489205 14.22046781],[0.27289449 0.33012695 0.32691488],[ 6.85266354 10.38174196  6.17723085],[ 8.78622524 10.85489205 14.22046781],[0.29510183 0.49557991 0.82269253],[0.9946461  0.97548117 0.97524398],[0.99819007 0.99326557 0.98783589],[0.99999981 0.99999954 0.99999719],[0.98146282 0.94986661 0.51638879],[ 0.30839394  0.49522955 -0.18454508],[0.99966216 0.99923414 0.99033511],[0.99999972 0.99999936 0.99998556],[0.99964904 0.99904264 0.99781852],[0.99966216 0.99923414 0.99033511],[0.99999944 0.99999799 0.99995936],[19.64197695 13.01582429 12.54565531],[24.22678531 18.63850366 14.81358223],[63.44090071 59.69009426 49.72594262],[12.57525669  6.7852804  -1.38818297],[-5.22905821 -4.95976488 -9.13628205],[28.76337432 26.33695532 12.23471891],[58.91952574 56.6758458  45.00430272],[30.92223279 26.7240609  19.47711995],[28.76337432 26.33695532 12.23471891],[58.23998278 53.14719164 36.9882455 ]
4,[25.37199426 50.41510977 12.80385591],[18.15773866  3.17340475  1.97630421],[0.06370881 4.19546321 0.45333466],[ 61.31024996 140.80975817  71.77933136],[34.70817104 47.93862548 47.39958143],[2.36335089 3.12187294 7.41448744],[0.09537999 0.13895405 0.25337971],[ 4.75231312 13.35643721  3.96508241],[2.36335089 3.12187294 7.41448744],[0.16619367 0.27888881 0.61002312],[0.99449385 0.97524255 0.97679531],[0.99716003 0.99990492 0.9995305 ],[0.99999997 0.99985434 0.99997271],[0.98189181 0.8506365  0.54718825],[0.99277393 0.98362085 0.75222027],[0.99996211 0.99991744 0.99212167],[0.99999995 0.99999982 0.99999568],[0.99981454 0.99827675 0.99825916],[0.99996211 0.99991744 0.99212167],[0.9999998  0.99999935 0.9999496 ],[19.55232888 12.99825116 13.14618102],[22.45818575 37.01895616 29.37592068],[71.55543176 34.59386716 42.16461811],[11.88875924  4.07681045 -1.82699158],[16.83078639 13.43575395  1.77750645],[40.16885683 37.16116102 17.89137391],[68.05027569 64.19204136 47.21755973],[34.10132002 24.53565296 23.32795221],[40.16885683 37.16116102 17.89137391],[63.22713122 58.14084364 39.58607064]
5,[28.10545642 15.77065327 43.83536322],[27.37458718  6.24877245 44.06793163],[1.11521986 0.35766397 0.51717887],[ 24.65133479 138.34880462  59.83074864],[351.31661078  66.7298404  125.23933153],[32.79197608 12.8869305  66.25536096],[ 1.02295034  0.37728549 11.84846883],[15.25557961  8.74234402 41.46067791],[32.79197608 12.8869305  91.65231978],[0.29138464 0.37972759 1.50400348],[0.99404278 0.9975904  0.82176349],[0.99439955 0.99961703 0.8180471 ],[0.99999296 0.99999928 0.99996411],[0.99530881 0.89656214 0.85866925],[0.64079243 0.95794805 0.70286289],[0.99409543 0.99839121 0.32999147],[0.99999528 0.99999916 0.98051403],[0.99878245 0.99927338 0.85658112],[0.99409543 0.99839121 0.4447595 ],[0.99999948 0.99999909 0.99979148],[18.66360812 23.09247183  2.4565044 ],[18.8924694  31.1335713   2.41054325],[46.69221108 55.97996175 41.02018111],[19.80261217  4.22995728 -0.24549216],[-3.27455272 10.56306378 -6.66181823],[17.3240692  24.84647577 -1.1314239 ],[47.44232999 55.51606355 13.81975198],[23.97084672 28.21690765  2.94026861],[17.3240692  24.84647577 -3.94987265],[58.35008801 55.46002253 31.74801979]
6,[50.07782965 45.02686306 25.95251784],[31.85620499 10.51459664  9.66851324],[0.73037127 0.23853271 0.28978079],[ 45.2193234  134.25503943  40.85691411],[24.42350252 54.15528137 22.86095031],[43.2465971   9.34851879 12.85392093],[1.7019749  0.51366433 0.68556658],[ 9.36739013 10.75337224  4.88759677],[139.18313531  25.82339088  36.14671429],[0.74932987 0.20897983 0.66500086],[0.97833954 0.98024813 0.89556197],[0.99168588 0.99893764 0.98694455],[0.99999575 0.99999951 0.99998928],[0.98365004 0.8618818  0.81949642],[0.99496634 0.97311276 0.93096895],[0.98543934 0.99921363 0.97823147],[0.99997538 0.99999741 0.99993071],[0.99941943 0.998943   0.99684079],[0.87050179 0.9935024  0.8514    ],[0.99999553 0.99999964 0.99993832],[13.646511   13.98003167  7.00940662],[17.57554022 26.61361316 15.58580266],[50.36854734 59.4985068  46.05160485],[14.53293977  4.49085357  3.06768535],[19.88326207 12.37664917  8.11111099],[14.92038217 27.6346094  13.1122841 ],[43.02035793 52.8358773  38.57200376],[28.20704881 26.41857191 21.5110892 ],[ 4.76768866 18.80920012  4.13162006],[50.14596009 60.64737816 38.83655241]
7,[330.83255387 128.47451583  15.59901946],[333.31321705 127.68707739  24.47368939],[0.10058358 0.49263381 1.17917923],[161.79759809 210.49857057  63.11887045],[386.75839798 339.21636559  12.40619085],[248.24603258 120.25295827  42.20117678],[62.1545632   6.33192092  1.25202047],[329.87554379 119.41656053   9.65092877],[727.42936233 264.9252108  174.20855653],[1.06892555 0.35223159 2.20989491],[0.80529568 0.89499387 0.96951103],[0.80157848 0.89873872 0.91706985],[0.99999992 0.99999797 0.99985935],[0.83810179 0.77281625 0.73072554],[0.40119218 0.6477849  0.97776145],[0.85693314 0.90573383 0.69864718],[0.96626519 0.99981196 0.99986138],[0.81046047 0.92226341 0.99155367],[0.61035221 0.73149006 0.2919727 ],[0.99999379 0.99999889 0.99936444],[-2.75274378  4.87312571 11.43105059],[-2.81762973  4.92652657  7.51900771],[67.58887954 53.19898113 33.86140018],[ 3.45997957  0.58448248 -0.71018778],[-4.10937408 -3.56007043 13.42022743],[-0.25822536  5.44755012  2.78650536],[11.7699606  31.01875585 33.34076799],[-2.72758141  5.50817433 15.60161438],[-9.59639557 -1.41300027 -9.52839306],[47.06047184 56.11289933 28.40556414]
8,[11.88677096 84.93582982 14.70156636],[3.86030727 5.4989393  9.01864989],[0.92229082 0.22777003 3.57072239],[18.23687324 88.4032717  47.70960909],[  3.57900601 113.12797538   7.39358542],[41.43555423 22.51451311 53.58679486],[0.22106564 0.3323822  0.49395824],[ 4.10888144 14.5518939   5.7411474 ],[41.43555423 22.51451311 93.59868574],[0.48085241 0.60477191 1.26876188],[0.99878303 0.92670098 0.97125619],[0.99987184 0.99974162 0.98841414],[0.99999269 0.99999954 0.99812706],[0.99720938 0.93158753 0.77347831],[0.99988972 0.8907478  0.992021  ],[0.98551138 0.99523375 0.39988505],[0.99999959 0.99999893 0.99996638],[0.99988804 0.99795943 0.99548283],[0.98551138 0.99523375 0.52550636],[0.99999802 0.99999661 0.99976589],[26.13814308  8.46764682 11.94572441],[35.90698348 32.24388699 16.19016603],[48.34206327 59.89953407 24.23787486],[22.42041338  8.12009874  1.72087942],[36.56417242  5.97806521 17.91589468],[15.29195793 20.00021431  0.71184095],[60.74899621 56.61671027 41.41919188],[35.36494877 23.79107511 20.11302263],[15.29195793 20.00021431 -4.13239843],[53.99918502 51.41763332 33.22539416]
9,[ 57.55219422 179.92767925 173.08271429],[ 57.49226126 180.5696792  173.50231473],[0.32615064 0.71518349 1.92200541],[101.36751595 293.18992233  76.2427397 ],[467.52441552 492.36540207 187.55526246],[112.90771444 265.20692456 155.74939925],[ 3.97137702  1.34719869 37.61023951],[ 52.02166502 174.77466104 172.31210863],[112.90771444 375.66887471 371.3387051 ],[0.87107951 0.44622626 2.44530457],[0.98816217 0.8945114  0.69354946],[0.98823047 0.89472196 0.68394059],[0.99999958 0.99999735 0.99973707],[0.96835128 0.77771272 0.84489094],[0.58133089 0.59863256 0.19280552],[0.96119935 0.18524757 0.12427127],[0.99996977 0.9999856  0.95056797],[0.99341634 0.91789891 0.71892909],[0.96119935 0.69695663 0.49818654],[0.99999728 0.99999851 0.99957477],[12.43818325  1.94750593 -9.47207736],[12.44723316  1.91656897 -9.49310888],[57.37105622 49.96111585 29.61790447],[ 7.52144489 -2.29351527 -2.35097329],[ -5.75666495  -6.79628506 -10.1695885 ],[ 6.58494865 -1.42223169 -8.55553102],[35.66059861 44.46083244  3.7868746 ],[13.31573601  2.19989613 -9.43331936],[  6.58494865  -4.44663878 -16.10240779],[48.83826501 54.05836296 27.52633741]
