seed,rmse_ica,rmse_mssa,rmse_ness,rmse_picog,rmse_sheinker,rmse_ream,rmse_ubss,rmse_waicup,rmse_b1,rmse_b2,corr_ica,corr_mssa,corr_ness,corr_picog,corr_sheinker,corr_ream,corr_ubss,corr_waicup,corr_b1,corr_b2,snr_ica,snr_mssa,snr_ness,snr_picog,snr_sheinker,snr_ream,snr_ubss,snr_waicup,snr_b1,snr_b2
0,[35.41527412 13.0130071  59.09838241],[35.50484222 14.23409224 58.43628349],[ 3.65717249  4.7349892  13.76946959],[39.61778934 65.5097937  74.90377873],[99.42353485  8.7377608  14.69717772],[245.63261493  89.02359526  70.7549648 ],[ 6.5874626   4.3028927  18.49972253],[26.44222556 15.38313082 57.91500012],[ 75.17067428  45.02948313 122.41318602],[12.49603243  9.79819655 19.69423698],[0.99148172 0.99833261 0.53644538],[0.99183765 0.99800008 0.57975453],[0.99988485 0.9997791  0.97157614],[0.9879984  0.96235985 0.42804564],[0.91091848 0.9992471  0.96756705],[0.03650699 0.91862906 0.01964205],[0.99975292 0.99984691 0.95802412],[0.99662683 0.99775997 0.58683685],[0.96946913 0.98036549 0.23240732],[0.99887697 0.99905328 0.94161867],[16.65560882 24.76191216 -0.13851529],[16.63366923 23.98286998 -0.04065516],[36.37651208 33.54308565 12.51465236],[15.68161621 10.72334087 -2.19707796],[ 7.68963698 28.22146247 11.94831767],[-0.16629966  8.05936291 -1.7021418 ],[31.26505772 34.37425518  9.94969229],[19.19346086 23.30857084  0.03717535],[10.11845205 13.97952626 -6.46356744],[25.7039781  27.22654256  9.4062134 ]
1,[68.29241685 55.88563289 64.70972248],[55.40540995 56.38109756 61.22014467],[1.36118935 9.75463082 2.55470065],[ 58.93050358  93.60386968 111.66332378],[ 72.88966752  66.96228241 142.67651357],[109.74312154 221.93971342  68.43974004],[11.54172226 23.89108897 28.53517875],[49.86882342 35.67802797 58.87229804],[100.59293667 106.68050847 117.64467714],[16.73441667 20.71841038 28.03641204],[0.96161547 0.96969666 0.7296721 ],[0.97542851 0.96904247 0.79270121],[0.99998949 0.99906464 0.99936486],[0.97051109 0.93331287 0.55222497],[0.96110852 0.95642058 0.42588091],[0.90060195 0.17702571 0.76493845],[0.99927189 0.99453358 0.93215843],[0.98103263 0.98762658 0.83907051],[0.93090327 0.89538932 0.55863229],[0.99776308 0.99577311 0.93606103],[10.95197132 12.10346203 -0.92639416],[12.76837752 12.02679498 -0.44489045],[44.96105014 27.26524875 27.14619622],[12.23261793  7.62358943 -5.66521443],[10.38610159 10.53286054 -7.79405318],[ 6.83187479  0.12476508 -1.41317044],[26.39400859 19.48474659  6.18538464],[13.68283854 16.00144867 -0.10522319],[ 7.58807123  6.48776396 -6.11844906],[23.16720941 20.72233688  6.3385479 ]
2,[29.09748509 25.38530919 25.83147   ],[25.23270149 23.49108514 29.62035076],[ 4.22842744  2.94701627 63.23230658],[ 91.2443499  299.73211936  77.21636557],[443.08243545 323.12773822  50.8581545 ],[27.06865928 28.69282758 59.33151823],[ 9.96033637 10.20096648 12.77076822],[15.61772523 18.58161661 22.37464053],[ 27.06865928  28.69282758 102.10326442],[ 7.64640306  7.12130687 27.08314039],[0.99376544 0.99479048 0.93172168],[0.99560075 0.99562754 0.91095969],[0.99991671 0.99994717 0.68708836],[0.95367301 0.69361754 0.65376012],[0.3141932  0.38312782 0.75904842],[0.99700574 0.99369712 0.22517592],[0.99968375 0.99934159 0.97655688],[0.99904561 0.9977014  0.9587219 ],[0.99700574 0.99369712 0.50572948],[0.99974156 0.9996604  0.91102871],[18.36231189 18.95781635  7.05001416],[19.60014598 19.63140392  5.86119264],[35.11584333 37.66181484 -0.7257839 ],[ 8.43530135 -2.48520019 -2.46119054],[-5.29026971 -3.13801931  1.16578465],[18.99008606 17.89399853 -0.17271265],[27.67394087 26.87663909 13.16865613],[23.76706542 21.6677956   8.29787525],[18.99008606 17.89399853 -4.88779596],[29.97027723 29.99827149  6.63901617]
3,[28.61733532 50.36190245 59.71199249],[24.02265972 36.7592244  60.21799429],[4.21340028 2.98826802 2.53374154],[ 77.84459072 159.48059417  59.06574015],[314.97211145 275.083441   166.54691374],[40.58535531 68.15710515 65.23171486],[ 9.44853905 16.79857551  9.04873263],[16.54488056 24.5686319  58.80798545],[ 40.58535531  68.15710515 113.14490367],[ 9.13867983 16.16013788 26.04081781],[0.99425808 0.97759897 0.91815898],[0.9963053  0.98932656 0.92132855],[0.99986824 0.99992401 0.99948034],[0.94883809 0.89235862 0.65256014],[ 0.64164313  0.67476138 -0.17870472],[0.9895496  0.9644357  0.68319596],[0.99935988 0.99857056 0.99195134],[0.99887086 0.99668875 0.95103661],[0.9895496  0.9644357  0.83612273],[0.99940759 0.9977794  0.97244947],[18.50683712 13.00742295 -0.22823468],[20.02699918 15.74213871 -0.30152914],[35.14676658 37.54107456 27.21775034],[ 9.81485218  2.9953086  -0.13371642],[-2.32602106 -1.73982346 -9.1377352 ],[15.47203392 10.37924278 -0.99617933],[28.13212772 22.54401638 16.16124147],[23.26614825 19.24184603 -0.09572946],[15.47203392 10.37924278 -5.77970336],[28.42175173 22.88056426  6.9799042 ]
4,[26.60702771 53.82510541 23.50884792],[20.20715804 15.28396215 25.2331328 ],[1.95165831 0.95863614 8.95636022],[ 51.06273661 135.32522409  60.73913364],[118.84634288 120.38067657  63.28011248],[22.85661593 38.35557837 63.94938275],[ 2.34800208  7.99071149 22.99526809],[ 8.75518517 17.71857267 19.80756403],[22.85661593 38.35557837 83.89648011],[ 5.84428726 10.29810891 22.02343593],[0.99405877 0.97327008 0.95769765],[0.99666557 0.99849788 0.93387627],[0.99997111 0.99999537 0.98914536],[0.98480764 0.87356163 0.68741146],[0.92534911 0.91880338 0.61691656],[0.99630751 0.98681654 0.17387786],[0.99998392 0.99941274 0.92826472],[0.99954228 0.99808221 0.97738973],[0.99630751 0.98681654 0.4810512 ],[0.9997461  0.99909899 0.93289831],[19.13949373 12.42976772  7.86836966],[21.52931621 23.36474643  7.25357312],[41.83134528 47.41638951 16.25036554],[13.47733925  4.4218904  -0.37637527],[ 6.13970453  5.4383299  -0.73234826],[20.45918236 15.37289478 -0.82373055],[40.22545144 28.99775649  8.06022704],[28.79411426 22.08089082  9.35637521],[20.45918236 15.37289478 -3.18187822],[32.30478989 26.79431589  8.43529508]
5,[ 53.4565744   51.86864707 102.11797336],[ 30.4941295   29.38851687 102.95361478],[4.27870769 1.81498123 8.66004128],[ 54.45802868 263.30004377  46.12565899],[342.45372563 289.83454954 118.50206068],[ 40.07412894  52.22393494 100.06304996],[ 6.08952816 37.40924694 27.01584569],[ 19.50873605  26.74100922 100.88325454],[ 40.07412894  52.22393494 206.84559795],[ 7.82902802 11.17565756 41.06354512],[0.97651861 0.97631968 0.32452968],[0.99320124 0.99539408 0.31858996],[0.99990088 0.99997784 0.98990411],[0.97505091 0.72170701 0.78758362],[0.54903345 0.78521896 0.69697809],[0.99075653 0.98497629 0.25336364],[0.99978426 0.99391037 0.94441787],[0.9980045  0.99632859 0.38856561],[0.99075653 0.98497629 0.052504  ],[0.99959566 0.99927337 0.82458911],[13.07939847 12.7513671  -4.88904716],[17.95509617 17.68591211 -4.95983541],[35.01316861 41.87202274 16.54259734],[12.91818265 -1.35955313  2.01414491],[-3.05261694 -2.19353758 -6.18152147],[15.58213915 12.69207367 -4.71247814],[31.94774811 15.58988618  6.66062525],[21.83483832 18.50590962 -4.7833851 ],[ 15.58213915  12.69207367 -11.01992907],[29.76526402 26.08400379  3.02386778]
6,[40.59042044 46.70263539 35.841323  ],[38.89541003 37.34049991 33.58506721],[25.58872061  6.92257965  4.9823386 ],[74.5075575  38.82998554 81.08268139],[112.03425106 220.4857914   51.89792307],[140.55229205  28.74099572  58.00008729],[11.78572594  2.04979859 16.72998636],[32.67760674 17.32862938 26.38189469],[103.05533686  28.74099572  91.45756871],[21.7811711   6.06385537 16.29541788],[0.98817613 0.97919337 0.83268288],[0.98974777 0.98674996 0.87243838],[0.99489753 0.99960713 0.99680675],[0.95664473 0.98591453 0.60929413],[0.92125106 0.77528301 0.75176553],[0.81707718 0.99301117 0.75562868],[0.99907757 0.99996085 0.96347355],[0.99357681 0.99752889 0.9278474 ],[0.93158646 0.99301117 0.55054484],[0.99627123 0.99968875 0.96582413],[15.47094997 13.66263774  4.20531594],[15.84145389 15.60586294  4.77007215],[19.47844952 30.24410628 21.3443318 ],[10.19541444 15.26612092 -2.88556546],[6.65240467 0.18185334 0.98999703],[ 4.68266233 17.8794293   0.02442364],[26.21229421 40.81524171 10.82308485],[17.35441613 22.27418123  6.86687694],[ 7.37801123 17.8794293  -3.93139645],[20.87779644 31.39448881 11.05168654]
7,[76.94109525 49.96445783 88.85704052],[77.80797427 20.08273195 98.52741751],[ 0.8665962   1.29371843 17.52130552],[126.11740233  59.43787451  57.74080397],[382.44148735  46.54038347  84.46991238],[110.94519033  48.44241116  90.88410789],[43.06589682  5.63131566 35.49143124],[73.68917807 17.25982562 90.35274063],[147.00933036  48.44241116 303.92684726],[20.37757804 10.45480134 50.71232635],[0.97639153 0.97713793 0.40797706],[0.97315397 0.99707914 0.28925875],[0.99999491 0.99998861 0.95706141],[0.90594642 0.97101371 0.85256785],[0.41638822 0.98242798 0.48772207],[0.90907088 0.97727099 0.06906758],[0.98408856 0.99975681 0.84178661],[0.97854064 0.99815151 0.39166916],[0.92270241 0.97727099 0.01525192],[0.99783208 0.99903223 0.72451168],[ 9.91625369 13.07624192 -3.68084031],[ 9.8189388  20.99300967 -4.57814541],[48.88308532 44.81267017 10.42166733],[ 5.62392063 11.56820009  0.06334005],[-4.011879   13.69286635 -3.24104429],[ 6.73725138 13.34495047 -3.87676239],[14.95675106 32.03726805  4.29052632],[10.29134672 22.30873743 -3.82583002],[  4.29252298  13.34495047 -14.36238471],[21.45636967 26.6631498   1.19072591]
8,[25.9116296  58.95978463 30.67812168],[ 9.44890968 34.37300351 34.75115189],[ 4.93908354  3.92288479 10.78419657],[ 50.70710828 146.55010149  19.4234254 ],[ 40.51530502 164.85268119  26.43550483],[66.131632   87.73469259 60.76608765],[ 2.74148565 18.13343416  4.03648735],[ 8.98384475 32.38116928 28.05563466],[ 66.131632    83.17428037 174.49282107],[11.94508163 17.316129   32.27029172],[0.99440263 0.96649413 0.88488854],[0.99930221 0.99029813 0.86722121],[0.99979008 0.99985862 0.98315743],[0.9788666  0.84916419 0.94699462],[0.98609887 0.79768835 0.91124878],[0.96399154 0.92842653 0.15474599],[0.99994972 0.996934   0.99782299],[0.99944276 0.99125668 0.91300973],[0.96399154 0.94460997 0.29951693],[0.9987815  0.99728081 0.8734655 ],[19.36952643 11.63834773  5.55642127],[28.13178701 16.32511585  4.47361249],[33.76649353 35.17735443 14.63724068],[13.53804409  3.72974303  9.52648015],[15.48703871  2.7075452   6.84924442],[11.23123616  8.18603833 -0.38022893],[38.87970142 21.87986431 23.17292466],[28.57017621 16.84361496  6.33259463],[11.23123616  8.64968446 -9.5425547 ],[26.09563853 22.28044925  5.11693876]
9,[ 68.06791908  91.85644658 161.8968567 ],[ 68.21090424  26.75559023 163.72005305],[ 9.08802061  5.4401678  17.68106347],[165.96959181  72.95026496 196.17806495],[453.98866741 323.46809006 171.44426328],[119.79956497  61.3694979  150.67625204],[22.5135722   8.52364729 52.55413671],[ 63.51608084  23.76816818 161.48860514],[119.79956497  61.3694979  336.30273707],[19.69705745 10.63245095 57.30332344],[0.98439871 0.91697431 0.69238689],[0.98424786 0.99554013 0.67639443],[0.99967663 0.99987234 0.97938887],[0.880543   0.97661352 0.59000813],[0.61460679 0.66489126 0.24073227],[0.95312572 0.97386634 0.08009155],[0.99878191 0.99937237 0.83946083],[0.9895491  0.99694537 0.72231215],[0.95312572 0.97386634 0.43323312],[0.99856485 0.99897508 0.83584469],[10.98057149  7.78727268 -8.89177175],[10.96234484 18.50117478 -8.98904095],[28.47003491 32.33721959 10.34282892],[  3.23885045   9.78892803 -10.56001234],[-5.50147927 -3.14716338 -9.38946257],[ 6.07031615 11.2904141  -8.26789959],[20.59053278 28.4369561   0.88085846],[11.58174712 19.52955127 -8.86984108],[  6.07031615  11.2904141  -15.24161145],[21.75139394 26.51679774  0.12940037]
