seed,rmse_ica,rmse_mssa,rmse_ness,rmse_picog,rmse_sheinker,rmse_ream,rmse_ubss,rmse_waicup,rmse_b1,rmse_b2,rmse_b3,corr_ica,corr_mssa,corr_ness,corr_picog,corr_sheinker,corr_ream,corr_ubss,corr_waicup,corr_b1,corr_b2,corr_b3,snr_ica,snr_mssa,snr_ness,snr_picog,snr_sheinker,snr_ream,snr_ubss,snr_waicup,snr_b1,snr_b2,snr_b3
0,[30.16323192 45.08578437 33.81481347],[23.66364566 11.06123519 31.09696998],[35.76236692 12.40680559 18.18729571],[ 75.4968487  179.86548721  75.08920153],[34.00733538 13.83908756 20.64912637],[34.79080683 24.63749825 77.47485516],[26.3375151   7.05883535 20.55308855],[21.47857595 13.7820476  30.81105085],[41.07183013 24.63749825 77.47485516],[33.61073809 11.71127477 31.31136301],[38.17594203 36.52074159 19.92732075],[0.99288417 0.98013837 0.87043727],[0.99644431 0.99879251 0.9124544 ],[0.99242506 0.99848083 0.9514534 ],[0.95751247 0.61296246 0.63617507],[0.9933762  0.99810965 0.93728164],[0.99315134 0.99401945 0.72180278],[0.99631454 0.99959637 0.94271851],[0.99699308 0.99823725 0.91149783],[0.98968877 0.99401945 0.72180278],[0.99362183 0.99864653 0.90766521],[0.98774031 0.98709876 0.94550969],[18.0498635  13.96867291  4.71085666],[20.1577879  26.17339297  5.4386351 ],[16.57089588 25.17626596 10.09763402],[10.08084449  1.95050873 -2.21855314],[17.00796888 24.22731636  8.99496294],[16.81013096 19.21753337 -2.49021887],[19.22792502 30.07480446  9.03545472],[20.9993113  24.26319059  5.51886637],[15.36853987 19.21753337 -2.49021887],[17.10985998 25.67738209  5.37895712],[16.00362572 15.79867375  9.30401836]
1,[49.67988694 52.40734662 84.06454399],[21.26269318 42.98789842 80.03503751],[14.05023648 55.2968932  18.53957183],[927.98971685 444.06395284 221.73196279],[309.90326183 136.24277154  18.90007214],[11.69288935 31.52264192 64.14005226],[ 6.09306218 19.22340453 46.56715439],[12.60153488 18.89831635 79.53171207],[11.69288935 31.52264192 39.44855828],[ 50.12046086  35.24323017 245.94471269],[14.14691353 21.27298842 29.38358947],[0.97881899 0.97385016 0.55532447],[0.99636072 0.98273035 0.62046699],[0.99854136 0.97011582 0.97013866],[0.35161512 0.44874184 0.26713616],[0.71109974 0.84908603 0.96771801],[0.99884528 0.99021844 0.05405907],[0.9996975  0.99788369 0.84029232],[0.99896184 0.99723282 0.64047304],[0.99884528 0.99021844 0.84708239],[0.98524169 0.98832239 0.28334876],[0.99888107 0.996337   0.90551415],[13.715809   12.66162206 -3.19926064],[21.08705552 14.38254122 -2.77260647],[24.6857483  12.19545087  9.93100259],[-11.7114423   -5.89944491 -11.62356944],[-2.18510198  4.36319611  9.76372735],[26.28098417 17.07701333 -0.8495896 ],[31.94270877 21.3728594   1.93140258],[25.63095205 21.52100321 -2.71781005],[26.28098417 17.07701333  3.37237387],[ 13.63911986  16.10795137 -12.52375323],[24.62618699 20.49289543  5.93089963]
2,[42.78929183 48.83100861 17.57187801],[39.0459292  18.10470165 12.36451602],[3.09295866 2.63882548 8.11082316],[165.9506677  140.53565272  61.50631211],[  4.82213976 102.0386621   93.90695265],[87.72716366  1.92779459  8.0536604 ],[ 9.98208079 38.38043401  4.3184467 ],[36.32417815 20.41098016 13.21248377],[5.76991842 1.92779459 8.0536604 ],[51.43386755 18.16273946 24.09944263],[176.11163699 174.90280553 290.28012607],[0.99061486 0.97871173 0.96471747],[0.99336828 0.99831506 0.98842694],[0.99993615 0.999932   0.99069793],[0.80951876 0.82224804 0.74966638],[0.99981848 0.89967452 0.57667165],[0.93183594 0.99996481 0.99081864],[0.99914776 0.98768141 0.99733141],[0.99516658 0.99789273 0.98531501],[0.99973227 0.99996481 0.99081864],[0.97866488 0.99695143 0.93246165],[0.8697915  0.77366407 0.20253114],[15.01271899 13.27555161 10.396633  ],[15.80790572 21.89363805 13.44945415],[37.83193866 38.62125212 17.11169794],[ 3.23984089  4.0937352  -0.48539717],[33.97462511  6.87417039 -4.16095837],[ 8.77673921 41.34825034 17.17313033],[27.65499937 15.36726787 22.58644531],[16.43550503 20.85218829 12.87330725],[32.41602752 41.34825034 17.17313033],[13.41443733 21.86583844  7.65285662],[  2.72365989   2.19352998 -13.96334948]
3,[ 42.01833804  73.02492312 125.31914987],[ 34.48697532  64.56487455 126.87008857],[ 2.55278893 12.37727417  7.53413502],[348.90909527 161.2304681  127.35850709],[474.47143442 440.47400162 172.87669028],[ 16.20230353 226.40724363 139.15588767],[ 6.78951363 18.54849588 96.85903477],[ 33.74160327  57.96578928 125.27347444],[10.92233358  5.43398191  8.63097549],[115.67380613 166.31585564 390.16741154],[26.52988912 32.22709413 37.56052387],[0.99125886 0.96353859 0.86292509],[0.99564318 0.97618058 0.8887379 ],[0.99996213 0.99898967 0.99648382],[0.86812392 0.85167732 0.84413278],[ 0.0933964   0.40571147 -0.25786677],[0.99829281 0.20542011 0.15185213],[0.99983811 0.99832757 0.35911275],[0.99666311 0.98438813 0.89079835],[0.99954407 0.99972655 0.99576628],[0.9317431  0.89559374 0.73409741],[0.99404066 0.99566502 0.88779705],[15.17064356  9.78004333 -6.66735222],[16.88631885 10.84953927 -6.77418828],[39.49912282 25.19696527 17.75232861],[-3.21482484  2.9005232  -6.80756261],[-5.88478044 -5.8289401  -9.4617322 ],[23.44788569 -0.04834085 -7.57703514],[31.00264768 21.68329154 -4.42980615],[17.07610668 11.78603043 -6.66418587],[26.87311224 32.34710174 16.57179892],[  6.37472045   2.63079241 -16.53202326],[19.16471227 16.88504255  3.79836377]
4,[214.04435237  53.80152599  66.57131695],[212.5522593   38.38752917  66.04735826],[ 1.72507621  2.55915449 20.94409889],[103.03288738  45.09370815  45.98332941],[139.56261143 160.97868393 118.65619022],[1.21736062 4.95361474 5.13952305],[29.33846847  7.30010342 92.52460158],[212.01537128  30.66831818  64.94780464],[1.21736062 4.95361474 5.13952305],[15.94682674 21.65337642 12.06190588],[719.36210799 101.06088307 205.18412537],[0.71793003 0.97750236 0.47629233],[0.72649088 0.98961932 0.49302613],[0.99997987 0.99994919 0.96252682],[0.90739099 0.97979353 0.88700155],[0.81914806 0.71817212 0.126472  ],[0.99999332 0.99981258 0.99628851],[0.99662474 0.99967164 0.10354809],[0.72890454 0.99522779 0.54111521],[0.99999332 0.99981258 0.99628851],[0.9983576  0.99626683 0.98493981],[-0.28830287  0.90796858 -0.21999349],[ 1.02934551 12.43357362 -1.17274638],[ 1.09010646 15.36566231 -1.10411245],[42.90325524 38.88753544  8.87176299],[ 7.37990356 13.96714651  2.04098832],[ 4.74403923  2.91409805 -6.19281141],[45.93103596 33.15102096 21.07454023],[18.29067219 29.78288524 -4.03214789],[ 1.112074   17.31566629 -0.95829293],[45.93103596 33.15102096 21.07454023],[23.58593546 20.33895299 13.66467788],[ -9.49953019   6.95780372 -10.94987856]
5,[28.34436149 57.139295   24.22990622],[20.12313315 32.80995427 20.66415405],[397.34988554 233.98491073   5.99478611],[148.9295113   91.27821518 236.61692283],[351.86048547 388.81339043 127.65364229],[26.19324096 18.48137353 16.63657948],[27.65096966 15.6584109   2.99563913],[15.61978166 30.84050096 21.09122844],[26.19324096 18.48137353 16.63657948],[53.26821428 85.04796162 92.46783709],[ 51.55256751 108.53337814  56.44126715],[0.99419649 0.9729678  0.94875905],[0.99751498 0.99359295 0.97997764],[0.62393301 0.77504529 0.99497024],[0.8994592  0.95264885 0.58200658],[0.66781561 0.5999188  0.70680173],[0.99645264 0.99735241 0.97395946],[0.99594354 0.99876024 0.99898211],[0.99884449 0.9951918  0.97513444],[0.99645264 0.99735241 0.97395946],[0.98444538 0.95907569 0.77712008],[0.97929755 0.89053143 0.72260989],[18.59008741 11.91076795  7.60596192],[21.56550895 16.729353    8.98864397],[-4.34404087 -0.33429153 19.73752274],[  4.17980568   7.84212271 -12.18791946],[-3.28798898 -4.74535877 -6.82766763],[19.27563621 21.7147806  10.8717158 ],[18.80521366 23.15451179 25.76320669],[23.76592179 17.26703702  8.81095907],[19.27563621 21.7147806  10.8717158 ],[13.11005821  8.45618732 -4.0268174 ],[13.39441498  6.33819908  0.26106148]
6,[30.52853723 44.89792301 29.89530902],[26.35324897 39.51103956 15.59712246],[  20.40862399   13.60762918 2717.76054083],[ 75.66119621 326.09543375  68.93367359],[128.18558588  64.03826056  28.7709489 ],[238.41396049 218.54235776  59.65256054],[13.08545265  7.50674614  7.09176908],[18.96608858 10.45969102 15.48940344],[11.37328023 13.35997911 18.88806353],[115.63350113 162.12255726 240.66339415],[20.74902553  7.09896129 38.49744493],[0.99279911 0.98019732 0.86675675],[0.9948502  0.9847279  0.97002302],[0.99642862 0.99856808 0.02949354],[0.96561103 0.54063167 0.6596282 ],[0.90836286 0.96212951 0.89668707],[0.1738094  0.24479731 0.16024355],[0.99859999 0.9995348  0.99333996],[0.99761192 0.99903371 0.96979659],[0.99906886 0.99862182 0.95491572],[0.89759428 0.8204686  0.24287249],[0.99632294 0.99955089 0.84093643],[17.94530106 14.00494048  5.78093564],[19.22273767 15.11509637 11.43210695],[ 21.44314649  24.37381619 -33.39122719],[10.06195691 -3.21742885 -1.47563188],[ 5.48263712 10.92067496  6.11391287],[ 0.09278733  0.25875302 -0.21958522],[25.30364597 29.54043091 18.27790487],[22.07986548 26.65908839 11.49230275],[26.52170617 24.53334992  9.76924789],[  6.37774747   2.85259659 -12.33520416],[21.29946687 30.02556934  3.58435846]
7,[49.71952556 60.64732958 26.800871  ],[ 9.87441204 50.4287065  11.68007657],[11.40173157 12.73348141  6.92917242],[71.62163543 98.84583939 32.45019514],[ 25.38038986 300.00926061  12.13939136],[36.36712434 89.35312951 42.3516377 ],[ 6.87080534 10.38754915  6.65218096],[ 9.531564   35.15837412  8.05597245],[36.36712434 99.10901117 41.24794247],[22.38122412 33.86203429 78.54707069],[51.57293477 74.72518961 51.81127505],[0.97886547 0.96936531 0.8893654 ],[0.99941491 0.97835216 0.9813024 ],[0.99888911 0.99874006 0.99479304],[0.9595103  0.93114784 0.90624747],[0.99449309 0.68216234 0.98012438],[0.98872781 0.92105256 0.72801748],[0.99986308 0.99933115 0.99588331],[0.99975254 0.99208354 0.99302565],[0.98872781 0.93572223 0.81110464],[0.9957202  0.99138914 0.57091661],[0.97700555 0.95211907 0.75039968],[13.70888146 11.39323184  6.73001842],[27.74919606 12.99590893 13.94408279],[26.50000473 24.95052233 18.47936922],[10.5385363   7.15029763  5.06865033],[19.5494552  -2.49322771 13.60905833],[16.42524174  8.02727014  2.75559241],[30.89926808 26.71920367 18.83371549],[28.0561376  16.12888984 17.17063714],[16.42524174  7.12720264  2.98495079],[20.64174425 16.4552046  -2.60960328],[13.39098406  9.58012499  1.00451098]
8,[38.84710848 46.25531074 42.81741658],[34.76050738 15.81848557 42.43844666],[41.95899385 15.66508553 38.8710621 ],[367.87540926 151.68098064  46.94908431],[ 2.2072453  10.21295282 30.58678678],[17.20684068 29.24283338 59.30843959],[15.78542164  6.63620191 25.88402689],[27.56400172 11.77387403 41.2974963 ],[23.17625936 25.47421713 15.13848736],[190.54744232 114.54803076 180.24993291],[ 94.17757757  16.68616363 136.17281681],[0.99015132 0.97898882 0.84955761],[0.99304629 0.99768807 0.85473365],[0.98514851 0.9977131  0.83284763],[0.5433068  0.83830875 0.79196894],[0.99995819 0.99906611 0.88678083],[0.99745082 0.99168506 0.17112833],[0.9979288  0.99961727 0.94011962],[0.99708579 0.99875041 0.87825766],[0.99540215 0.99378315 0.9679111 ],[0.78299416 0.8915048  0.32370554],[0.9758582  0.99764206 0.61398322],[15.852247   13.74623344  2.66058738],[16.81769883 23.06616744  2.737807  ],[15.18291966 23.15081009  3.50046844],[-3.67459419  3.43084294  1.86045406],[40.76240896 26.86643898  5.58231947],[22.92539822 17.72907651 -0.16933337],[23.67429724 30.61107367  7.03235974],[18.8325756  25.6310778   2.97452213],[20.33855413 18.92744858 11.69134694],[ 2.0393585   5.86971295 -9.82450565],[ 8.16047066 22.60233554 -7.38881184]
9,[91.20927577 85.47626652 56.91435596],[92.03819143 76.33649269 57.79871813],[121.74987064  69.27786506 177.83522838],[401.02262958 134.06718839 134.85472995],[365.14496749 444.4345809  111.16361147],[259.0860304   24.54736965  99.22070136],[167.49086511  83.0771169  220.48680529],[89.18376613 67.15796401 56.19016238],[182.6073876   24.54736965  99.22070136],[120.49595029  16.29319951  85.03468941],[171.78375347 266.44625539  48.94261499],[0.98511531 0.96718541 0.81534456],[0.98408295 0.97480681 0.79752068],[0.93074269 0.97124868 0.30067232],[0.6989827  0.86745462 0.34863712],[0.54758272 0.56302211 0.45599389],[0.15239718 0.99756839 0.52880826],[0.90227351 0.93020162 0.02000697],[0.98934524 0.98666522 0.83525325],[0.91056827 0.99756839 0.52880826],[0.92093029 0.99739858 0.6254329 ],[0.93654612 0.2537432  0.75177194],[8.43864083 8.41255461 0.18856007],[8.36005945 9.39482146 0.05463245],[ 5.9300508  10.23757559 -9.70735935],[-4.42395664  4.50301547 -7.30432709],[-3.60988542 -5.90669137 -5.62625637],[-0.62945897 19.24936625 -4.63904927],[  3.15959846   8.65983717 -11.57465551],[ 8.63370481 10.50751507  0.29979084],[ 2.4090541  19.24936625 -4.63904927],[ 6.01997195 22.80933799 -3.29892601],[ 2.93977921 -1.46272692  1.49925319]
