seed,boom_length,rmse_ica,rmse_mssa,rmse_ness,rmse_picog,rmse_sheinker,rmse_ream,rmse_ubss,rmse_waicup,rmse_b1,rmse_b2,corr_ica,corr_mssa,corr_ness,corr_picog,corr_sheinker,corr_ream,corr_ubss,corr_waicup,corr_b1,corr_b2,snr_ica,snr_mssa,snr_ness,snr_picog,snr_sheinker,snr_ream,snr_ubss,snr_waicup,snr_b1,snr_b2
0,600,[28.14722147 87.68293672 25.65722643],[1.85456871 3.09300714 1.03092039],[0.04670952 0.01517597 0.14942062],[ 47.20749009 231.23244037  68.94439054],[77.09062759  2.41730648 14.21671901],[0.0990533  0.07145596 0.12872902],[ 0.21887425  0.15880415 18.01052027],[ 6.4202297  10.85085733  3.65286852],[0.0990533  0.07145596 0.12872902],[0.34287477 0.25053561 1.1376587 ],[0.99320023 0.92168851 0.89744799],[0.99997043 0.99990564 0.99984653],[0.99999999 1.         0.99999688],[0.98069246 0.90861687 0.77499176],[0.94744726 0.99994236 0.96966764],[0.99999993 0.99999995 0.99999768],[0.99999964 0.99999975 0.96795114],[0.99965672 0.99892729 0.99819268],[0.99999993 0.99999995 0.99999768],[0.99999911 0.99999938 0.9998185 ],[18.65071037  8.19116376  7.10880245],[42.27456242 37.24184704 35.028494  ],[74.25131323 83.42633389 51.80478566],[14.15920276 -0.23150975 -1.47698215],[ 9.89938935 39.38283119 12.23700899],[67.72204238 69.96869575 53.09946722],[60.83552743 63.0322283  10.18247142],[31.48840964 26.34018443 24.04031577],[67.72204238 69.96869575 53.09946722],[56.93671037 59.07207615 34.17275671]
0,590,[28.13855598 87.68792059 25.65802267],[1.85199673 3.09301519 1.04046909],[0.04975963 0.01552968 0.15601712],[ 47.2545304  237.17347613  69.15854933],[76.84379281  2.40213309 14.21234968],[0.10373584 0.07406886 0.13441631],[ 0.22632305  0.16334023 13.4212822 ],[ 6.42684274 10.81293856  3.66173691],[0.10373584 0.07406886 0.13441631],[0.35319395 0.25703896 1.19140499],[0.99320438 0.92167963 0.89744151],[0.99997052 0.99990564 0.99984392],[0.99999998 1.         0.9999966 ],[0.98066294 0.90622377 0.77424285],[0.94779251 0.99994308 0.96968658],[0.99999992 0.99999995 0.99999747],[0.99999962 0.99999974 0.97466403],[0.99965593 0.99893523 0.99818519],[0.99999992 0.99999995 0.99999747],[0.99999905 0.99999935 0.99980086],[18.65338484  8.19067007  7.10853289],[42.28661665 37.24182445 34.94841294],[73.70187809 83.2262139  51.42955136],[14.15055194 -0.45185688 -1.50392091],[ 9.92724512 39.43752418 12.2396789 ],[67.32084469 69.6567521  52.72395706],[60.5448453  62.78760207 12.73711642],[31.47946751 26.3705908  24.01925383],[67.32084469 69.6567521  52.72395706],[56.67915581 58.84948632 33.77180827]
0,580,[28.13033776 87.69279714 25.65893822],[1.84849908 3.09302394 1.06232648],[0.05307256 0.01588751 0.1630199 ],[ 47.32101019 243.51196734  69.38598267],[76.56347285  2.38429527 14.20790103],[0.10872651 0.07681146 0.14044542],[0.23409218 0.16804118 0.06037085],[ 6.43395781 10.77124472  3.67113852],[0.10872651 0.07681146 0.14044542],[0.36385674 0.26374912 1.24854301],[0.99320831 0.92167093 0.89743405],[0.99997063 0.99990564 0.99983752],[0.99999998 1.         0.99999629],[0.98061777 0.90370635 0.77343563],[0.94818311 0.99994393 0.96970585],[0.99999991 0.99999994 0.99999724],[0.99999959 0.99999972 0.99999947],[0.99965509 0.99894392 0.99817723],[0.99999991 0.99999994 0.99999724],[0.999999   0.99999931 0.9997812 ],[18.65592204  8.19018704  7.10822296],[42.30303619 37.24179988 34.76783644],[73.14201997 83.02834691 51.04818423],[14.13834083 -0.68094069 -1.53243828],[ 9.95898848 39.50226475 12.24239812],[66.91271233 69.34094501 52.34284477],[60.25168284 62.54115114 59.67645064],[31.4698568  26.40414764 23.99698115],[66.91271233 69.34094501 52.34284477],[56.42081238 58.62564512 33.36492642]
0,570,[28.12244028 87.69761054 25.65997933],[1.84373733 3.09303343 1.06642634],[0.05667671 0.01625326 0.17046111],[ 47.40963873 250.29075288  69.62792456],[76.24550215  2.36346199 14.20338004],[0.11405143 0.07969197 0.14684242],[0.24219631 0.17291853 1.2219092 ],[ 6.44164123 10.72525679  3.68112899],[0.11405143 0.07969197 0.14684242],[0.37486849 0.27067302 1.30933986],[0.99321208 0.92166233 0.89742556],[0.99997079 0.99990563 0.99983663],[0.99999998 1.         0.99999594],[0.98055461 0.90105509 0.77256398],[0.94862424 0.9999449  0.96972542],[0.99999991 0.99999994 0.99999699],[0.99999956 0.99999971 0.99990759],[0.99965417 0.99895347 0.99816876],[0.99999991 0.99999994 0.99999699],[0.99999893 0.99999928 0.99975925],[18.65836091  8.18971029  7.10787054],[42.32543999 37.24177322 34.73437936],[72.57132846 82.83065591 50.66049047],[14.12208805 -0.91943059 -1.56267242],[ 9.99513639 39.57849305 12.24516243],[66.49740589 69.02117405 51.95596587],[59.95607053 62.29263486 33.55221786],[31.45949031 26.44131152 23.97337587],[66.49740589 69.02117405 51.95596587],[56.1618422  58.40056599 32.9519488 ]
0,560,[28.11469165 87.70244328 25.66114996],[1.83735264 3.09304371 1.15042765],[0.06060419 0.01663341 0.17837602],[ 47.52356896 257.55891884  69.88575861],[75.88503095  2.33925615 14.19879449],[0.11973947 0.08271924 0.15363578],[0.2506502  0.17797707 0.12348444],[ 6.44997158 10.67436095  3.6917713 ],[0.11973947 0.08271924 0.15363578],[0.3862331  0.27781789 1.3740878 ],[0.99321576 0.92165369 0.89741603],[0.999971   0.99990563 0.99980934],[0.99999998 1.         0.99999556],[0.98047065 0.89825963 0.77162092],[0.94912187 0.99994603 0.96974527],[0.9999999  0.99999993 0.9999967 ],[0.99999953 0.99999969 0.99999846],[0.99965318 0.99896398 0.99815972],[0.9999999  0.99999993 0.9999967 ],[0.99999887 0.99999924 0.9997347 ],[18.66075448  8.18923165  7.10747429],[42.3555706  37.24174436 34.07581035],[71.98936763 82.62983754 50.26626711],[14.10124001 -1.16806637 -1.59477709],[10.03629866 39.6679099  12.24796712],[66.07467421 68.69733466 51.56314909],[59.65805996 62.04218451 53.46075187],[31.44826496 26.48262781 23.94830081],[66.07467421 68.69733466 51.56314909],[55.90243118 58.17426138 32.5327069 ]
0,550,[27.90503569 87.83883114 25.64575259],[1.8291691  3.09305481 1.18337845],[0.06489143 0.0170385  0.18680339],[ 47.66648553 265.37293984  70.16103712],[75.47638138  2.31124732 14.19415303],[0.12582252 0.08590281 0.16085665],[0.25947204 0.18322383 0.12686598],[ 6.45904256 10.61782729  3.70313688],[0.12582252 0.08590281 0.16085665],[0.39795268 0.28519125 1.44310704],[0.99331841 0.9214087  0.89754752],[0.99997126 0.99990563 0.99979847],[0.99999997 1.         0.99999513],[0.9803626  0.8953086  0.77059846],[0.94968285 0.99994731 0.96976536],[0.99999989 0.99999993 0.99999638],[0.9999995  0.99999967 0.9999983 ],[0.9996521  0.99897559 0.99815002],[0.99999989 0.99999993 0.99999638],[0.9999988  0.9999992  0.99970722],[18.72576932  8.17573454  7.11268762],[42.39434385 37.24171318 33.83052344],[71.39567365 82.42084084 49.86530152],[14.07515832 -1.42766721 -1.62892342],[10.08319957 39.77253707 12.25080692],[65.64425359 68.36931788 51.16421598],[59.35760966 61.78982641 53.22609277],[31.43605805 26.52875236 23.92160128],[65.64425359 68.36931788 51.16421598],[55.64279236 57.94674167 32.10702569]
0,540,[27.887636   87.85013669 25.64610972],[1.88523224 3.09306677 1.16638708],[0.06957984 0.01748494 0.19578585],[ 47.8427131  273.79806635  70.45550137],[75.01286664  2.27894338 14.18946531],[0.13233591 0.08925299 0.16853915],[0.26867643 0.1886678  0.13271245],[ 6.46896686 10.55478292  3.7153069 ],[0.13233591 0.08925299 0.16853915],[0.4100271  0.29280103 1.5167488 ],[0.99332677 0.92138834 0.89754509],[0.99996947 0.99990563 0.99980504],[0.99999997 1.         0.99999465],[0.98022652 0.89218962 0.76948749],[0.95031508 0.99994877 0.96978564],[0.99999987 0.99999992 0.99999603],[0.99999946 0.99999965 0.99999815],[0.99965093 0.99898847 0.9981396 ],[0.99999987 0.99999992 0.99999603],[0.99999872 0.99999915 0.99967638],[18.73118695  8.17461667  7.11256667],[42.13212381 37.24167958 33.95614258],[70.78975217 82.19618414 49.45737071],[14.04310497 -1.69914203 -1.66530161],[10.13670572 39.89479478 12.25367597],[65.20586706 68.03701006 50.75898058],[59.05482946 61.53550992 52.83476321],[31.42272245 26.58047938 23.89310269],[65.20586706 68.03701006 50.75898058],[55.38316977 57.71801362 31.67472338]
0,530,[27.87055704 87.86122143 25.64667476],[1.87087286 3.09307964 1.16011716],[0.07471663 0.01799771 0.20537037],[ 48.05734987 282.91001712  70.7711023 ],[74.48656187  2.24178075 14.18474204],[0.13931885 0.09278091 0.17672068],[0.27828111 0.1943188  0.13604338],[ 6.47988108 10.48417845  3.72837379],[0.13931885 0.09278091 0.17672068],[0.42245349 0.30065564 1.59539884],[0.99333496 0.92136839 0.89754098],[0.99996994 0.99990563 0.9998078 ],[0.99999996 1.         0.99999411],[0.98005767 0.88888914 0.76827748],[0.95102772 0.99995043 0.96980606],[0.99999986 0.99999992 0.99999564],[0.99999942 0.99999963 0.99999794],[0.99964964 0.99900279 0.99812835],[0.99999986 0.99999992 0.99999564],[0.99999865 0.99999911 0.99964172],[18.73650799  8.17352077  7.1123753 ],[42.19853547 37.24164345 34.00295955],[70.17107525 81.94512194 49.04224076],[14.00422461 -1.983501   -1.70412262],[10.1978624  40.03760277 12.25656774],[64.75922353 67.70029264 50.34724906],[58.74974658 61.27916923 52.61944817],[31.40808026 26.63877741 23.86260766],[64.75922353 67.70029264 50.34724906],[55.12384291 57.48807844 31.23561112]
0,520,[27.85114325 87.87378658 25.6472049 ],[1.81869775 3.09309345 1.16951567],[0.08035579 0.01861382 0.21560882],[ 48.31643286 292.79704965  71.11001982],[73.88801169  2.1991132  14.17999513],[0.14681492 0.09649864 0.18544232],[0.28830264 0.20018578 0.148727  ],[ 6.49195237 10.40474644  3.74244293],[0.14681492 0.09649864 0.18544232],[0.43522562 0.30876412 1.67948139],[0.99334427 0.92134576 0.89753727],[0.9999716  0.99990563 0.99980529],[0.99999996 1.         0.99999351],[0.97985032 0.88539242 0.76695634],[0.95183145 0.9999523  0.96982658],[0.99999984 0.99999991 0.99999519],[0.99999938 0.9999996  0.9999974 ],[0.99964821 0.99901878 0.99811617],[0.99999984 0.99999991 0.99999519],[0.99999856 0.99999906 0.99960269],[18.74256043  8.17227868  7.11219576],[42.4442104  37.24160467 33.93287566],[69.53907793 81.65275606 48.61966606],[13.9575237  -2.28186842 -1.74561941],[10.26794137 40.20451381 12.25947495],[64.30401685 67.35904181 49.92881932],[58.44244871 61.02080091 51.8452003 ],[31.39191447 26.70483548 23.82989286],[64.30401685 67.35904181 49.92881932],[54.86513196 57.25692908 30.78949265]
0,510,[24.47436554 15.02200944  3.24958016],[1.82902148 3.09310824 1.20054792],[0.08655922 0.0193868  0.22655852],[ 48.62714265 303.56249841  71.47467763],[73.20585366  2.15019897 14.17523781],[0.15487268 0.10041923 0.19474925],[0.29875757 0.20627817 0.5643762 ],[ 6.50538738 10.3149512   3.75763476],[0.15487268 0.10041923 0.19474925],[0.44833315 0.31713628 1.76946359],[0.99489322 0.99783555 0.99870112],[0.99997129 0.99990563 0.99979517],[0.99999995 1.         0.99999284],[0.97959754 0.88168344 0.76551009],[0.95273873 0.9999544  0.96984714],[0.99999983 0.9999999  0.9999947 ],[0.99999933 0.99999958 0.99997142],[0.99964662 0.9990367  0.99810294],[0.99999983 0.9999999  0.9999947 ],[0.99999847 0.99999901 0.99955865],[19.86519213 23.51490489 25.05645149],[42.39504484 37.24156314 33.70540658],[68.8931543 81.2993414 48.1893886],[13.90184595 -2.59549687 -1.79004752],[10.34850479 40.39989249 12.26238952],[63.83992487 67.01312817 49.50348062],[58.13304273 60.7603999  40.2616228 ],[31.37395772 26.78012194 23.79470529],[63.83992487 67.01312817 49.50348062],[54.6074039  57.02454686 30.33616399]
